Species,Sex,Trait,Treatment,Month_num,Month,Count
PM,M,S,exclosure,6,Jun,12
PM,M,S,exclosure,7,Jul,15
PM,M,S,exclosure,8,Aug,4
PM,M,S,exclosure,9,Sept,6
PM,M,S,exclosure,10,Oct,7
PM,M,S,exclosure,11,Nov,1
PM,M,S,exclosure,12,Dec,4
PM,M,S,control,1,Jan,1
PM,M,S,control,2,Feb,1
PM,M,S,control,3,Mar,2
PM,M,S,control,4,Apr,6
PM,M,S,control,5,May,3
PM,M,S,control,6,Jun,2
PM,M,S,control,7,Jul,4
PM,M,S,control,8,Aug,4
PM,M,S,control,9,Sept,3
PM,M,S,control,10,Oct,0
PM,M,S,control,11,Nov,4
PM,M,S,control,12,Dec,1
RM,M,S,exclosure,1,Jan,21
RM,M,S,exclosure,2,Feb,37
RM,M,S,exclosure,3,Mar,61
RM,M,S,exclosure,4,Apr,46
RM,M,S,exclosure,5,May,19
RM,M,S,exclosure,6,Jun,20
RM,M,S,exclosure,7,Jul,18
RM,M,S,exclosure,8,Aug,5
RM,M,S,exclosure,9,Sept,8
RM,M,S,exclosure,10,Oct,13
RM,M,S,exclosure,11,Nov,14
RM,M,S,exclosure,12,Dec,14
RM,M,S,control,1,Jan,8
RM,M,S,control,2,Feb,24
RM,M,S,control,3,Mar,44
RM,M,S,control,4,Apr,28
RM,M,S,control,5,May,18
RM,M,S,control,6,Jun,3
RM,M,S,control,7,Jul,6
RM,M,S,control,8,Aug,1
RM,M,S,control,9,Sept,0
RM,M,S,control,10,Oct,8
RM,M,S,control,11,Nov,4
RM,M,S,control,12,Dec,7
DM,M,S,exclosure,1,Jan,15
DM,M,S,exclosure,2,Feb,20
DM,M,S,exclosure,3,Mar,22
DM,M,S,exclosure,4,Apr,14
DM,M,S,exclosure,5,May,17
DM,M,S,exclosure,6,Jun,11
DM,M,S,exclosure,7,Jul,7
DM,M,S,exclosure,8,Aug,7
DM,M,S,exclosure,9,Sept,5
DM,M,S,exclosure,10,Oct,8
DM,M,S,exclosure,11,Nov,9
DM,M,S,exclosure,12,Dec,5
DM,M,S,control,1,Jan,177
DM,M,S,control,2,Feb,288
DM,M,S,control,3,Mar,500
DM,M,S,control,4,Apr,466
DM,M,S,control,5,May,437
DM,M,S,control,6,Jun,365
DM,M,S,control,7,Jul,368
DM,M,S,control,8,Aug,288
DM,M,S,control,9,Sept,216
DM,M,S,control,10,Oct,145
DM,M,S,control,11,Nov,117
DM,M,S,control,12,Dec,121
DO,M,S,exclosure,1,Jan,2
DO,M,S,exclosure,2,Feb,14
DO,M,S,exclosure,3,Mar,13
DO,M,S,exclosure,4,Apr,10
DO,M,S,exclosure,5,May,7
DO,M,S,exclosure,6,Jun,5
DO,M,S,exclosure,7,Jul,5
DO,M,S,exclosure,8,Aug,1
DO,M,S,exclosure,9,Sept,2
DO,M,S,exclosure,10,Oct,2
DO,M,S,exclosure,11,Nov,1
DO,M,S,exclosure,12,Dec,2
DO,M,S,control,1,Jan,75
DO,M,S,control,2,Feb,107
DO,M,S,control,3,Mar,160
DO,M,S,control,4,Apr,153
DO,M,S,control,5,May,138
DO,M,S,control,6,Jun,128
DO,M,S,control,7,Jul,133
DO,M,S,control,8,Aug,97
DO,M,S,control,9,Sept,68
DO,M,S,control,10,Oct,66
DO,M,S,control,11,Nov,57
DO,M,S,control,12,Dec,57
