"","Month","species","total_n","total_rep","total_prop","trt","month"
"86","Mar","PB",193,135,0.699481865284974,"exclosure","3"
"87","Mar","PE",59,17,0.288135593220339,"control","3"
"88","Mar","PE",52,13,0.25,"exclosure","3"
"89","Mar","PF",41,26,0.634146341463415,"control","3"
"90","Mar","PF",80,58,0.725,"exclosure","3"
"91","Mar","PM",10,2,0.2,"control","3"
"92","Mar","PM",31,12,0.387096774193548,"exclosure","3"
"93","Mar","PP",336,271,0.806547619047619,"control","3"
"94","Mar","PP",250,196,0.784,"exclosure","3"
"95","Mar","RM",82,48,0.585365853658537,"control","3"
"96","Mar","RM",141,76,0.539007092198582,"exclosure","3"
"97","May","PB",113,49,0.433628318584071,"control","5"
"98","May","PB",225,95,0.422222222222222,"exclosure","5"
"99","May","PE",41,16,0.390243902439024,"control","5"
"100","May","PE",38,18,0.473684210526316,"exclosure","5"
"101","May","PF",36,28,0.777777777777778,"control","5"
"102","May","PF",55,50,0.909090909090909,"exclosure","5"
"103","May","PM",16,5,0.3125,"control","5"
"104","May","PM",18,8,0.444444444444444,"exclosure","5"
"105","May","PP",385,321,0.833766233766234,"control","5"
"106","May","PP",369,286,0.775067750677507,"exclosure","5"
"107","May","RM",26,19,0.730769230769231,"control","5"
"108","May","RM",33,21,0.636363636363636,"exclosure","5"
"109","Nov","PB",110,26,0.236363636363636,"control","11"
"110","Nov","PB",198,40,0.202020202020202,"exclosure","11"
"111","Nov","PE",51,2,0.0392156862745098,"control","11"
"112","Nov","PE",51,0,0,"exclosure","11"
"113","Nov","PF",24,2,0.0833333333333333,"control","11"
"114","Nov","PF",30,7,0.233333333333333,"exclosure","11"
"115","Nov","PM",14,6,0.428571428571429,"control","11"
"116","Nov","PM",14,3,0.214285714285714,"exclosure","11"
"117","Nov","PP",57,10,0.175438596491228,"control","11"
"118","Nov","PP",21,2,0.0952380952380952,"exclosure","11"
"119","Nov","RM",27,4,0.148148148148148,"control","11"
"120","Nov","RM",79,20,0.253164556962025,"exclosure","11"
"121","Oct","PB",94,17,0.180851063829787,"control","10"
"122","Oct","PB",183,47,0.256830601092896,"exclosure","10"
"123","Oct","PE",37,1,0.027027027027027,"control","10"
"124","Oct","PE",30,4,0.133333333333333,"exclosure","10"
"125","Oct","PF",40,16,0.4,"control","10"
"126","Oct","PF",55,32,0.581818181818182,"exclosure","10"
"127","Oct","PM",8,0,0,"control","10"
"128","Oct","PM",26,10,0.384615384615385,"exclosure","10"
"129","Oct","PP",146,26,0.178082191780822,"control","10"
"130","Oct","PP",91,12,0.131868131868132,"exclosure","10"
"131","Oct","RM",15,9,0.6,"control","10"
"132","Oct","RM",27,15,0.555555555555556,"exclosure","10"
"133","Sept","PB",132,20,0.151515151515152,"control","9"
"134","Sept","PB",220,57,0.259090909090909,"exclosure","9"
"135","Sept","PE",18,5,0.277777777777778,"control","9"
"136","Sept","PE",19,5,0.263157894736842,"exclosure","9"
"137","Sept","PF",32,20,0.625,"control","9"
"138","Sept","PF",37,25,0.675675675675676,"exclosure","9"
"139","Sept","PM",8,6,0.75,"control","9"
"140","Sept","PM",15,8,0.533333333333333,"exclosure","9"
"141","Sept","PP",236,35,0.148305084745763,"control","9"
"142","Sept","PP",162,27,0.166666666666667,"exclosure","9"
"143","Sept","RM",11,9,0.818181818181818,"exclosure","9"
