"","month","year","treatment","species","reproductive","abundance","proportion"
"39","8",1996,"exclosure","PP",1,18,0.0555555555555556
"40","6",2012,"exclosure","PP",2,35,0.0571428571428571
"41","2",1998,"control","DM",1,17,0.0588235294117647
"42","5",1983,"control","DS",1,17,0.0588235294117647
"43","5",2017,"control","PP",1,17,0.0588235294117647
"44","6",2014,"exclosure","PP",2,34,0.0588235294117647
"45","7",2015,"exclosure","PP",2,34,0.0588235294117647
"46","8",1977,"control","DM",2,34,0.0588235294117647
"47","9",2007,"exclosure","PP",1,17,0.0588235294117647
"48","8",2011,"exclosure","PP",3,50,0.06
"49","12",1989,"control","DM",1,16,0.0625
"50","3",2008,"control","PB",1,16,0.0625
"51","7",2003,"exclosure","PP",1,16,0.0625
"52","10",2011,"control","PP",4,62,0.0645161290322581
"53","1",1988,"control","DM",1,15,0.0666666666666667
"54","10",1981,"control","DM",1,15,0.0666666666666667
"55","12",2005,"exclosure","PB",1,15,0.0666666666666667
"56","3",2008,"exclosure","PB",1,15,0.0666666666666667
"57","5",2011,"control","DM",1,15,0.0666666666666667
"58","6",1998,"control","DM",1,15,0.0666666666666667
"59","6",2002,"control","PB",1,15,0.0666666666666667
"60","6",2003,"exclosure","PP",1,15,0.0666666666666667
"61","7",2011,"control","PP",1,15,0.0666666666666667
"62","7",2012,"exclosure","PP",3,44,0.0681818181818182
"63","11",1985,"control","DM",2,28,0.0714285714285714
"64","12",1991,"control","DM",1,14,0.0714285714285714
"65","2",1978,"control","DM",1,14,0.0714285714285714
"66","3",1982,"control","DS",1,14,0.0714285714285714
"67","3",2012,"control","DM",1,14,0.0714285714285714
"68","5",1996,"exclosure","PP",1,14,0.0714285714285714
"69","6",2000,"exclosure","PB",1,14,0.0714285714285714
"70","7",2002,"control","PP",1,14,0.0714285714285714
"71","8",1983,"control","DM",1,14,0.0714285714285714
"72","8",2000,"control","PB",1,14,0.0714285714285714
"73","8",2007,"control","PP",1,14,0.0714285714285714
"74","9",1991,"control","DM",1,14,0.0714285714285714
"75","10",1993,"control","DM",1,13,0.0769230769230769
"76","11",1991,"control","DM",1,13,0.0769230769230769
"77","2",1989,"exclosure","RM",1,13,0.0769230769230769
"78","2",1995,"control","DM",1,13,0.0769230769230769
"79","2",2008,"exclosure","PB",1,13,0.0769230769230769
"80","4",1979,"control","DS",1,13,0.0769230769230769
"81","4",2006,"control","DM",1,13,0.0769230769230769
"82","5",1979,"control","DS",1,13,0.0769230769230769
"83","6",1989,"control","DM",1,13,0.0769230769230769
"84","6",2009,"control","PP",1,13,0.0769230769230769
"85","7",2003,"control","PP",1,13,0.0769230769230769
"86","9",1978,"control","DM",1,13,0.0769230769230769
"87","9",2005,"exclosure","PB",3,38,0.0789473684210526
"88","10",2011,"exclosure","PP",4,50,0.08
"89","11",1987,"control","DM",2,25,0.08
"90","12",2002,"control","PB",2,25,0.08
"91","9",2017,"control","PP",3,37,0.0810810810810811
"92","1",2004,"control","DM",1,12,0.0833333333333333
"93","1",2004,"exclosure","PB",1,12,0.0833333333333333
"94","11",1978,"control","DM",1,12,0.0833333333333333
"95","12",1978,"control","DM",1,12,0.0833333333333333
"96","12",1999,"exclosure","PB",1,12,0.0833333333333333
"97","2",2011,"control","DM",1,12,0.0833333333333333
"98","3",2015,"control","RM",1,12,0.0833333333333333
"99","4",2002,"control","DO",1,12,0.0833333333333333
"100","4",2007,"control","PB",2,24,0.0833333333333333
"101","5",2007,"control","DM",1,12,0.0833333333333333
"102","7",1980,"control","DS",1,12,0.0833333333333333
"103","7",2002,"exclosure","PP",1,12,0.0833333333333333
"104","7",2005,"exclosure","PP",1,12,0.0833333333333333
"105","7",2007,"exclosure","SH",1,12,0.0833333333333333
"106","7",2017,"exclosure","PP",1,12,0.0833333333333333
"107","8",1996,"control","DM",1,12,0.0833333333333333
"108","8",2000,"control","DM",1,12,0.0833333333333333
"109","8",2001,"control","PB",1,12,0.0833333333333333
"110","8",2007,"exclosure","PP",1,12,0.0833333333333333
"111","6",2012,"control","PP",3,35,0.0857142857142857
"112","1",1983,"control","DM",2,23,0.0869565217391304
"113","10",1985,"control","DM",2,23,0.0869565217391304
"114","11",2005,"exclosure","PB",2,23,0.0869565217391304
"115","6",2015,"exclosure","PP",2,23,0.0869565217391304
"116","1",1978,"control","DM",2,22,0.0909090909090909
"117","1",2016,"control","DM",1,11,0.0909090909090909
"118","11",1982,"control","PF",1,11,0.0909090909090909
"119","11",2015,"control","DO",1,11,0.0909090909090909
"120","12",1981,"control","DM",1,11,0.0909090909090909
"121","12",2003,"control","DM",1,11,0.0909090909090909
"122","3",2011,"control","DM",1,11,0.0909090909090909
"123","4",1983,"control","DO",1,11,0.0909090909090909
"124","6",2005,"exclosure","PB",1,11,0.0909090909090909
"125","6",2017,"control","PP",2,22,0.0909090909090909
"126","7",2012,"exclosure","PB",1,11,0.0909090909090909
"127","8",1978,"control","DM",1,11,0.0909090909090909
"128","8",2005,"exclosure","PB",2,22,0.0909090909090909
"129","9",2004,"control","PP",1,11,0.0909090909090909
"130","9",2012,"exclosure","PB",1,11,0.0909090909090909
"131","9",2016,"exclosure","PP",1,11,0.0909090909090909
"132","7",2013,"control","PP",3,32,0.09375
"133","7",2002,"exclosure","PB",2,21,0.0952380952380952
"134","8",2011,"control","PP",5,52,0.0961538461538462
"135","1",1998,"control","DM",1,10,0.1
"136","1",2000,"control","PB",1,10,0.1
"137","1",2015,"control","DM",3,30,0.1
"138","10",1983,"control","DO",1,10,0.1
"139","2",2000,"control","PP",1,10,0.1
"140","2",2012,"control","PP",1,10,0.1
"141","3",1979,"control","DM",1,10,0.1
"142","3",1996,"exclosure","PF",1,10,0.1
"143","3",2006,"control","PP",2,20,0.1
"144","3",2014,"control","DO",1,10,0.1
"145","3",2016,"exclosure","PP",1,10,0.1
"146","4",1978,"control","DM",1,10,0.1
"147","4",1987,"control","PE",1,10,0.1
"148","4",1999,"control","DO",1,10,0.1
"149","6",1980,"control","DM",1,10,0.1
"150","6",1997,"control","PP",1,10,0.1
"151","6",2000,"control","DM",1,10,0.1
"152","6",2000,"exclosure","PP",1,10,0.1
"153","6",2006,"exclosure","PP",1,10,0.1
"154","7",1982,"control","DS",2,20,0.1
"155","7",1997,"control","DM",5,50,0.1
"156","7",2008,"exclosure","PP",1,10,0.1
"157","8",1981,"control","DM",1,10,0.1
"158","8",1982,"control","DS",2,20,0.1
"159","8",1992,"control","DM",1,10,0.1
"160","9",1982,"control","DS",1,10,0.1
"161","9",1983,"control","DM",1,10,0.1
"162","9",2006,"exclosure","PP",1,10,0.1
"163","9",2008,"control","PP",1,10,0.1
"164","9",2010,"control","PP",2,20,0.1
"165","9",2010,"exclosure","PP",2,20,0.1
"166","10",2017,"control","DM",2,19,0.105263157894737
"167","11",1996,"control","DM",2,19,0.105263157894737
"168","5",2009,"exclosure","PB",2,19,0.105263157894737
"169","9",1996,"control","DM",2,19,0.105263157894737
"170","9",2014,"control","DM",2,19,0.105263157894737
"171","10",1977,"control","DM",3,28,0.107142857142857
"172","1",1991,"exclosure","RM",1,9,0.111111111111111
"173","10",2001,"control","PP",1,9,0.111111111111111
"174","11",1983,"control","DO",1,9,0.111111111111111
"175","11",2002,"control","PB",1,9,0.111111111111111
"176","11",2010,"control","DM",1,9,0.111111111111111
"177","12",2014,"control","DM",1,9,0.111111111111111
"178","12",2017,"control","DM",1,9,0.111111111111111
"179","2",2000,"exclosure","PB",1,9,0.111111111111111
"180","2",2004,"control","DM",1,9,0.111111111111111
"181","2",2010,"control","DM",1,9,0.111111111111111
"182","3",1996,"exclosure","PP",1,9,0.111111111111111
"183","3",2007,"control","SH",1,9,0.111111111111111
"184","3",2009,"control","DM",1,9,0.111111111111111
"185","3",2009,"control","PP",1,9,0.111111111111111
"186","4",2010,"control","DM",1,9,0.111111111111111
"187","5",1979,"control","DM",1,9,0.111111111111111
"188","5",1997,"exclosure","PB",1,9,0.111111111111111
"189","5",1999,"control","DO",1,9,0.111111111111111
"190","5",2001,"exclosure","PB",1,9,0.111111111111111
"191","5",2006,"exclosure","PB",2,18,0.111111111111111
"192","6",1982,"control","DS",3,27,0.111111111111111
"193","6",1999,"exclosure","PB",1,9,0.111111111111111
"194","6",2001,"exclosure","PB",1,9,0.111111111111111
"195","6",2002,"exclosure","PP",1,9,0.111111111111111
"196","6",2003,"control","PP",1,9,0.111111111111111
"197","6",2009,"exclosure","PB",2,18,0.111111111111111
"198","6",2016,"control","DO",1,9,0.111111111111111
"199","7",1987,"control","DS",1,9,0.111111111111111
"200","7",1987,"control","NA",1,9,0.111111111111111
"201","7",1995,"exclosure","PP",1,9,0.111111111111111
"202","7",2005,"control","PB",1,9,0.111111111111111
"203","8",2001,"control","OT",1,9,0.111111111111111
"204","8",2001,"exclosure","PB",2,18,0.111111111111111
"205","9",1978,"control","DS",1,9,0.111111111111111
"206","9",1998,"control","DM",2,18,0.111111111111111
"207","5",2007,"control","PB",4,35,0.114285714285714
"208","5",2008,"control","DO",3,26,0.115384615384615
"209","2",1997,"control","DM",5,43,0.116279069767442
"210","1",2008,"control","DO",2,17,0.117647058823529
"211","10",1998,"control","DM",2,17,0.117647058823529
"212","10",2007,"control","DM",2,17,0.117647058823529
"213","12",2007,"control","DO",2,17,0.117647058823529
"214","2",2008,"control","DO",2,17,0.117647058823529
"215","2",2015,"control","PP",2,17,0.117647058823529
"216","3",2006,"exclosure","PB",4,34,0.117647058823529
"217","5",1981,"control","DS",2,17,0.117647058823529
"218","6",2003,"exclosure","PB",2,17,0.117647058823529
"219","6",2015,"control","PP",4,34,0.117647058823529
"220","11",1998,"control","DM",3,25,0.12
"221","1",1982,"control","DM",3,24,0.125
"222","1",1983,"spectabs","DM",1,8,0.125
"223","1",2007,"control","PP",1,8,0.125
"224","1",2007,"exclosure","PB",1,8,0.125
"225","10",1979,"control","DM",1,8,0.125
"226","10",1987,"control","DO",1,8,0.125
"227","10",1999,"control","PP",1,8,0.125
"228","10",2001,"control","PB",1,8,0.125
"229","10",2004,"control","PB",1,8,0.125
"230","10",2014,"control","DM",3,24,0.125
"231","11",1998,"control","DO",1,8,0.125
"232","11",2003,"control","DM",1,8,0.125
"233","12",1992,"control","DM",1,8,0.125
"234","12",2004,"control","DM",1,8,0.125
"235","12",2005,"control","DM",1,8,0.125
"236","2",1988,"exclosure","RM",1,8,0.125
"237","2",1993,"exclosure","RM",1,8,0.125
"238","3",1983,"control","DS",1,8,0.125
"239","3",1983,"control","PF",1,8,0.125
"240","3",1992,"exclosure","RM",1,8,0.125
"241","3",1997,"spectabs","DO",1,8,0.125
"242","3",2005,"control","DO",1,8,0.125
"243","3",2014,"control","PB",1,8,0.125
"244","4",1987,"exclosure","RM",1,8,0.125
"245","4",2018,"control","PP",2,16,0.125
"246","5",1993,"control","DM",1,8,0.125
"247","5",1998,"spectabs","DM",1,8,0.125
"248","5",2015,"control","DO",1,8,0.125
"249","6",2005,"exclosure","PP",1,8,0.125
"250","6",2009,"control","DO",1,8,0.125
"251","6",2014,"exclosure","PB",1,8,0.125
"252","7",1997,"exclosure","OT",1,8,0.125
"253","8",1982,"exclosure","PF",1,8,0.125
"254","8",1994,"control","DM",1,8,0.125
"255","8",2007,"control","DO",1,8,0.125
"256","8",2015,"control","DO",1,8,0.125
"257","9",1985,"control","DO",1,8,0.125
"258","9",1997,"control","DO",1,8,0.125
"259","5",2014,"control","PP",3,23,0.130434782608696
"260","9",1998,"exclosure","PB",3,23,0.130434782608696
"261","12",1984,"control","DM",2,15,0.133333333333333
"262","12",2012,"control","DM",4,30,0.133333333333333
"263","2",2003,"control","DM",2,15,0.133333333333333
"264","4",2011,"exclosure","PP",2,15,0.133333333333333
"265","5",1978,"control","DM",2,15,0.133333333333333
"266","7",1992,"exclosure","PP",2,15,0.133333333333333
"267","7",2006,"control","PP",4,30,0.133333333333333
"268","8",2016,"exclosure","PP",2,15,0.133333333333333
"269","9",2003,"exclosure","PB",2,15,0.133333333333333
"270","10",1987,"control","DM",3,22,0.136363636363636
"271","10",2006,"control","PP",3,22,0.136363636363636
"272","4",2018,"control","DM",3,22,0.136363636363636
"273","6",2008,"exclosure","PP",3,22,0.136363636363636
"274","6",2008,"exclosure","PB",4,29,0.137931034482759
"275","1",1983,"control","OL",1,7,0.142857142857143
"276","1",1990,"spectabs","DO",1,7,0.142857142857143
"277","1",1996,"exclosure","PF",1,7,0.142857142857143
"278","1",1996,"spectabs","DM",1,7,0.142857142857143
"279","10",1979,"control","DS",1,7,0.142857142857143
"280","10",2002,"control","PB",1,7,0.142857142857143
"281","10",2002,"exclosure","PB",3,21,0.142857142857143
"282","11",1983,"control","DS",2,14,0.142857142857143
"283","11",1986,"control","DO",1,7,0.142857142857143
"284","11",1989,"control","DM",2,14,0.142857142857143
"285","11",1991,"control","OT",1,7,0.142857142857143
"286","11",2001,"control","PB",1,7,0.142857142857143
"287","12",1983,"control","DO",1,7,0.142857142857143
"288","12",1990,"exclosure","RM",1,7,0.142857142857143
"289","2",1983,"control","DS",1,7,0.142857142857143
"290","2",1991,"exclosure","RM",1,7,0.142857142857143
"291","2",2003,"control","PB",2,14,0.142857142857143
"292","2",2009,"exclosure","PB",1,7,0.142857142857143
"293","3",1983,"exclosure","PF",1,7,0.142857142857143
"294","3",1989,"control","RM",1,7,0.142857142857143
"295","3",1989,"exclosure","PE",1,7,0.142857142857143
"296","3",2003,"spectabs","DM",1,7,0.142857142857143
"297","3",2005,"exclosure","PB",1,7,0.142857142857143
"298","3",2008,"control","DM",3,21,0.142857142857143
"299","3",2009,"exclosure","PB",1,7,0.142857142857143
"300","3",2011,"exclosure","PP",1,7,0.142857142857143
"301","4",1996,"exclosure","DO",1,7,0.142857142857143
"302","4",2000,"control","PB",1,7,0.142857142857143
"303","4",2009,"control","DO",1,7,0.142857142857143
"304","4",2014,"control","DO",1,7,0.142857142857143
"305","5",1994,"control","DM",2,14,0.142857142857143
"306","5",2004,"control","DO",1,7,0.142857142857143
"307","5",2005,"control","DM",1,7,0.142857142857143
"308","5",2007,"control","OT",1,7,0.142857142857143
"309","5",2013,"exclosure","PB",1,7,0.142857142857143
"310","5",2015,"control","PE",1,7,0.142857142857143
"311","6",1978,"control","DS",2,14,0.142857142857143
"312","6",1990,"control","DO",1,7,0.142857142857143
"313","6",1997,"control","OT",1,7,0.142857142857143
"314","6",1998,"control","PP",1,7,0.142857142857143
"315","6",1998,"exclosure","PB",1,7,0.142857142857143
"316","6",1999,"control","DO",1,7,0.142857142857143
"317","6",2006,"exclosure","PB",2,14,0.142857142857143
"318","7",1982,"exclosure","PF",1,7,0.142857142857143
"319","7",2000,"exclosure","PB",4,28,0.142857142857143
"320","7",2000,"exclosure","PP",2,14,0.142857142857143
"321","7",2004,"control","DM",1,7,0.142857142857143
"322","7",2004,"control","PB",1,7,0.142857142857143
"323","7",2008,"exclosure","PB",1,7,0.142857142857143
"324","7",2010,"control","DM",1,7,0.142857142857143
"325","7",2011,"control","DM",1,7,0.142857142857143
"326","8",1998,"exclosure","PB",3,21,0.142857142857143
"327","8",2014,"exclosure","PB",1,7,0.142857142857143
"328","9",1979,"control","DM",1,7,0.142857142857143
"329","9",1992,"control","DM",2,14,0.142857142857143
"330","9",1993,"control","DM",1,7,0.142857142857143
"331","9",1995,"exclosure","PF",1,7,0.142857142857143
"332","9",2003,"control","PB",1,7,0.142857142857143
"333","9",2005,"control","DM",2,14,0.142857142857143
"334","9",2005,"control","DO",1,7,0.142857142857143
"335","12",1998,"control","DM",4,27,0.148148148148148
"336","12",1986,"control","DM",3,20,0.15
"337","5",2008,"control","PP",3,20,0.15
"338","1",2005,"control","DO",2,13,0.153846153846154
"339","10",2005,"exclosure","PB",2,13,0.153846153846154
"340","10",2007,"control","DO",2,13,0.153846153846154
"341","11",2018,"control","DM",2,13,0.153846153846154
"342","12",1988,"control","DM",2,13,0.153846153846154
"343","2",2018,"control","DM",2,13,0.153846153846154
"344","3",2016,"control","PP",2,13,0.153846153846154
"345","4",1989,"exclosure","RM",2,13,0.153846153846154
"346","5",2008,"exclosure","PB",2,13,0.153846153846154
"347","5",2008,"exclosure","PP",2,13,0.153846153846154
"348","6",2007,"control","DO",2,13,0.153846153846154
"349","6",2007,"exclosure","PP",2,13,0.153846153846154
"350","6",2017,"exclosure","PP",4,26,0.153846153846154
"351","8",1980,"control","DS",2,13,0.153846153846154
"352","8",1987,"control","DM",4,26,0.153846153846154
"353","8",2001,"control","DM",2,13,0.153846153846154
"354","9",2006,"control","PP",2,13,0.153846153846154
"355","5",2012,"exclosure","PP",5,32,0.15625
"356","1",2006,"control","PB",3,19,0.157894736842105
"357","11",2007,"control","DM",3,19,0.157894736842105
"358","11",2016,"control","DM",3,19,0.157894736842105
"359","4",2008,"control","DM",3,19,0.157894736842105
"360","6",2014,"control","PP",10,63,0.158730158730159
"361","10",2012,"control","DM",4,25,0.16
"362","11",1986,"control","DM",4,25,0.16
"363","7",2013,"control","DM",4,25,0.16
"364","6",2007,"control","PP",5,31,0.161290322580645
"365","5",2003,"exclosure","PB",8,49,0.163265306122449
"366","1",1978,"control","DS",1,6,0.166666666666667
"367","1",1989,"exclosure","RM",2,12,0.166666666666667
"368","1",1996,"control","DO",1,6,0.166666666666667
"369","1",2000,"control","DO",1,6,0.166666666666667
"370","10",1980,"control","DM",2,12,0.166666666666667
"371","10",1989,"control","DM",2,12,0.166666666666667
"372","10",1998,"control","DO",1,6,0.166666666666667
"373","10",2007,"exclosure","BA",1,6,0.166666666666667
"374","10",2008,"control","DO",1,6,0.166666666666667
"375","10",2009,"exclosure","PB",1,6,0.166666666666667
"376","11",1982,"control","DM",4,24,0.166666666666667
"377","11",1988,"control","DM",2,12,0.166666666666667
"378","11",1989,"control","DO",1,6,0.166666666666667
"379","11",2003,"control","DO",1,6,0.166666666666667
"380","11",2003,"exclosure","PB",2,12,0.166666666666667
"381","11",2004,"control","PB",1,6,0.166666666666667
"382","12",1988,"control","RM",1,6,0.166666666666667
"383","12",1990,"spectabs","DM",1,6,0.166666666666667
"384","12",1991,"spectabs","DM",1,6,0.166666666666667
"385","12",1996,"control","DM",4,24,0.166666666666667
"386","12",1999,"control","DM",1,6,0.166666666666667
"387","12",2013,"control","PB",1,6,0.166666666666667
"388","2",1979,"control","DM",2,12,0.166666666666667
"389","2",1979,"control","DS",1,6,0.166666666666667
"390","2",1992,"control","DM",2,12,0.166666666666667
"391","2",1996,"control","DM",4,24,0.166666666666667
"392","2",2000,"control","PB",3,18,0.166666666666667
"393","2",2007,"control","DO",1,6,0.166666666666667
"394","2",2013,"exclosure","PB",1,6,0.166666666666667
"395","2",2014,"control","DO",1,6,0.166666666666667
"396","2",2015,"control","OL",1,6,0.166666666666667
"397","3",1980,"control","DS",2,12,0.166666666666667
"398","3",1983,"control","OL",1,6,0.166666666666667
"399","3",1987,"control","OL",1,6,0.166666666666667
"400","3",1988,"exclosure","RM",1,6,0.166666666666667
"401","3",1997,"control","DO",1,6,0.166666666666667
"402","3",1997,"control","PP",1,6,0.166666666666667
"403","3",1997,"control","RM",1,6,0.166666666666667
"404","3",2003,"spectabs","PB",1,6,0.166666666666667
"405","3",2006,"exclosure","PP",2,12,0.166666666666667
"406","3",2008,"control","DO",3,18,0.166666666666667
"407","3",2014,"exclosure","PB",1,6,0.166666666666667
"408","3",2015,"exclosure","RM",3,18,0.166666666666667
"409","4",1980,"control","DM",2,12,0.166666666666667
"410","4",1987,"exclosure","PM",1,6,0.166666666666667
"411","4",1993,"exclosure","PP",1,6,0.166666666666667
"412","4",1997,"exclosure","RM",1,6,0.166666666666667
"413","4",1999,"exclosure","PB",1,6,0.166666666666667
"414","4",2007,"control","DO",1,6,0.166666666666667
"415","4",2015,"control","DO",1,6,0.166666666666667
"416","4",2015,"exclosure","PB",1,6,0.166666666666667
"417","4",2015,"exclosure","RM",2,12,0.166666666666667
"418","4",2017,"control","DO",1,6,0.166666666666667
"419","5",1978,"control","DS",2,12,0.166666666666667
"420","5",1985,"control","DO",1,6,0.166666666666667
"421","5",1986,"control","DO",1,6,0.166666666666667
"422","5",1998,"control","OT",1,6,0.166666666666667
"423","5",1998,"exclosure","PP",1,6,0.166666666666667
"424","5",2001,"control","PB",1,6,0.166666666666667
"425","5",2001,"control","PP",1,6,0.166666666666667
"426","5",2002,"exclosure","DO",1,6,0.166666666666667
"427","5",2004,"exclosure","PB",1,6,0.166666666666667
"428","5",2006,"control","DO",1,6,0.166666666666667
"429","5",2006,"control","PB",1,6,0.166666666666667
"430","5",2009,"control","PB",1,6,0.166666666666667
"431","5",2012,"control","PP",4,24,0.166666666666667
"432","5",2013,"control","DM",5,30,0.166666666666667
"433","5",2015,"control","OL",1,6,0.166666666666667
"434","6",1981,"control","DM",2,12,0.166666666666667
"435","6",1985,"control","DO",1,6,0.166666666666667
"436","6",1988,"control","DO",1,6,0.166666666666667
"437","6",2003,"spectabs","PP",1,6,0.166666666666667
"438","6",2004,"control","DM",1,6,0.166666666666667
"439","6",2008,"exclosure","PF",1,6,0.166666666666667
"440","7",1984,"control","NA",1,6,0.166666666666667
"441","7",1987,"control","DO",2,12,0.166666666666667
"442","7",1989,"control","OT",1,6,0.166666666666667
"443","7",1989,"spectabs","DM",1,6,0.166666666666667
"444","7",1995,"control","PP",1,6,0.166666666666667
"445","7",1997,"control","PM",1,6,0.166666666666667
"446","7",1997,"exclosure","DO",1,6,0.166666666666667
"447","7",2001,"exclosure","PB",2,12,0.166666666666667
"448","7",2010,"control","PP",1,6,0.166666666666667
"449","8",1979,"control","DM",1,6,0.166666666666667
"450","8",1988,"control","DO",1,6,0.166666666666667
"451","8",1994,"exclosure","PP",1,6,0.166666666666667
"452","8",2003,"exclosure","PP",1,6,0.166666666666667
"453","8",2004,"control","DM",1,6,0.166666666666667
"454","9",2004,"exclosure","PB",1,6,0.166666666666667
"455","9",2005,"control","OT",1,6,0.166666666666667
"456","9",2006,"control","DM",1,6,0.166666666666667
"457","9",2009,"exclosure","PB",1,6,0.166666666666667
"458","9",2017,"control","DM",3,18,0.166666666666667
"459","6",1997,"control","DM",5,29,0.172413793103448
"460","11",2006,"exclosure","PB",3,17,0.176470588235294
"461","4",2008,"control","PP",3,17,0.176470588235294
"462","7",1985,"control","DM",3,17,0.176470588235294
"463","6",2008,"control","PB",5,28,0.178571428571429
"464","11",2002,"control","DM",2,11,0.181818181818182
"465","12",1999,"control","PP",2,11,0.181818181818182
"466","12",2004,"exclosure","PB",2,11,0.181818181818182
"467","2",2002,"control","DM",2,11,0.181818181818182
"468","3",1982,"control","DM",4,22,0.181818181818182
"469","3",1988,"control","DM",4,22,0.181818181818182
"470","3",1995,"control","DM",2,11,0.181818181818182
"471","3",1997,"control","PF",2,11,0.181818181818182
"472","3",2001,"control","PP",2,11,0.181818181818182
"473","4",1982,"control","DS",4,22,0.181818181818182
"474","4",1989,"control","DM",2,11,0.181818181818182
"475","4",1996,"exclosure","PF",4,22,0.181818181818182
"476","4",2007,"exclosure","PB",4,22,0.181818181818182
"477","5",2014,"exclosure","PP",2,11,0.181818181818182
"478","5",2017,"control","DO",2,11,0.181818181818182
"479","6",2002,"exclosure","PB",4,22,0.181818181818182
"480","7",1997,"exclosure","PM",2,11,0.181818181818182
"481","7",2006,"control","PB",2,11,0.181818181818182
"482","7",2007,"control","DO",2,11,0.181818181818182
"483","8",1990,"control","DM",2,11,0.181818181818182
"484","8",1993,"control","DM",2,11,0.181818181818182
"485","8",1998,"control","DM",2,11,0.181818181818182
"486","8",2005,"control","DM",2,11,0.181818181818182
"487","8",2012,"exclosure","PB",2,11,0.181818181818182
"488","8",2014,"control","DO",2,11,0.181818181818182
"489","9",2015,"control","DO",2,11,0.181818181818182
"490","1",2013,"control","DM",5,27,0.185185185185185
"491","7",2015,"control","DM",5,27,0.185185185185185
"492","2",2014,"control","DM",8,43,0.186046511627907
"493","2",2017,"control","DM",6,32,0.1875
"494","4",1982,"control","DM",3,16,0.1875
"495","4",1996,"exclosure","PP",3,16,0.1875
"496","6",1987,"control","DM",3,16,0.1875
"497","6",2018,"control","DM",3,16,0.1875
"498","9",1995,"control","DM",3,16,0.1875
"499","11",2017,"control","DM",4,21,0.19047619047619
"500","4",1987,"control","DO",4,21,0.19047619047619
"501","6",1980,"control","DS",4,21,0.19047619047619
"502","5",2011,"exclosure","PP",9,47,0.191489361702128
"503","11",2002,"exclosure","PB",5,26,0.192307692307692
"504","12",2002,"exclosure","PB",6,31,0.193548387096774
"505","1",1985,"control","DM",5,25,0.2
"506","1",1988,"spectabs","DM",1,5,0.2
"507","1",1990,"exclosure","PF",1,5,0.2
"508","1",1995,"spectabs","DM",1,5,0.2
"509","1",2000,"exclosure","PB",2,10,0.2
"510","1",2001,"control","OT",1,5,0.2
"511","1",2004,"control","DO",1,5,0.2
"512","1",2007,"exclosure","PP",1,5,0.2
"513","1",2015,"control","DO",1,5,0.2
"514","10",1978,"control","DS",2,10,0.2
"515","10",1994,"control","DM",3,15,0.2
"516","10",1996,"control","DM",4,20,0.2
"517","10",1998,"exclosure","PM",1,5,0.2
"518","10",1999,"exclosure","PB",1,5,0.2
"519","10",2003,"control","PB",1,5,0.2
"520","10",2004,"exclosure","OT",1,5,0.2
"521","10",2005,"control","DM",1,5,0.2
"522","10",2007,"control","BA",1,5,0.2
"523","11",1991,"spectabs","DM",1,5,0.2
"524","11",2005,"control","DM",2,10,0.2
"525","11",2005,"control","PB",3,15,0.2
"526","12",1983,"control","OT",1,5,0.2
"527","12",1985,"control","DS",1,5,0.2
"528","12",1994,"control","DO",1,5,0.2
"529","12",1995,"spectabs","DM",1,5,0.2
"530","12",1999,"exclosure","PP",1,5,0.2
"531","12",2003,"control","DO",1,5,0.2
