"","Month","species","total_n","total_rep","total_prop","trt","month"
"48","Feb","RM",101,40,0.396039603960396,"exclosure","2"
"49","Jan","PB",93,5,0.0537634408602151,"control","1"
"50","Jan","PB",199,10,0.050251256281407,"exclosure","1"
"51","Jan","PE",40,15,0.375,"control","1"
"52","Jan","PE",33,11,0.333333333333333,"exclosure","1"
"53","Jan","PF",14,4,0.285714285714286,"control","1"
"54","Jan","PF",28,12,0.428571428571429,"exclosure","1"
"55","Jan","PM",2,0,0,"control","1"
"56","Jan","PM",16,4,0.25,"exclosure","1"
"57","Jan","PP",28,0,0,"control","1"
"58","Jan","PP",22,2,0.0909090909090909,"exclosure","1"
"59","Jan","RM",36,12,0.333333333333333,"control","1"
"60","Jan","RM",93,32,0.344086021505376,"exclosure","1"
"61","Jul","PB",180,46,0.255555555555556,"control","7"
"62","Jul","PB",406,115,0.283251231527094,"exclosure","7"
"63","Jul","PE",18,12,0.666666666666667,"control","7"
"64","Jul","PE",12,8,0.666666666666667,"exclosure","7"
"65","Jul","PF",39,12,0.307692307692308,"control","7"
"66","Jul","PF",63,34,0.53968253968254,"exclosure","7"
"67","Jul","PM",5,1,0.2,"control","7"
"68","Jul","PM",22,10,0.454545454545455,"exclosure","7"
"69","Jul","PP",616,214,0.347402597402597,"control","7"
"70","Jul","PP",582,228,0.391752577319588,"exclosure","7"
"71","Jul","RM",16,7,0.4375,"control","7"
"72","Jul","RM",30,14,0.466666666666667,"exclosure","7"
"73","Jun","PB",161,56,0.347826086956522,"control","6"
"74","Jun","PB",418,150,0.358851674641148,"exclosure","6"
"75","Jun","PE",21,16,0.761904761904762,"control","6"
"76","Jun","PE",22,15,0.681818181818182,"exclosure","6"
"77","Jun","PF",25,11,0.44,"control","6"
"78","Jun","PF",60,29,0.483333333333333,"exclosure","6"
"79","Jun","PM",6,5,0.833333333333333,"control","6"
"80","Jun","PM",20,14,0.7,"exclosure","6"
"81","Jun","PP",528,279,0.528409090909091,"control","6"
"82","Jun","PP",455,278,0.610989010989011,"exclosure","6"
"83","Jun","RM",6,3,0.5,"control","6"
"84","Jun","RM",29,11,0.379310344827586,"exclosure","6"
"85","Mar","PB",143,31,0.216783216783217,"control","3"
"86","Mar","PB",316,93,0.294303797468354,"exclosure","3"
"87","Mar","PE",48,33,0.6875,"control","3"
"88","Mar","PE",39,26,0.666666666666667,"exclosure","3"
"89","Mar","PF",27,12,0.444444444444444,"control","3"
"90","Mar","PF",56,30,0.535714285714286,"exclosure","3"
"91","Mar","PM",10,5,0.5,"control","3"
"92","Mar","PM",21,12,0.571428571428571,"exclosure","3"
"93","Mar","PP",135,31,0.22962962962963,"control","3"
"94","Mar","PP",116,34,0.293103448275862,"exclosure","3"
"95","Mar","RM",60,39,0.65,"control","3"
"96","Mar","RM",118,61,0.516949152542373,"exclosure","3"
"97","May","PB",150,73,0.486666666666667,"control","5"
"98","May","PB",386,212,0.549222797927461,"exclosure","5"
"99","May","PE",33,22,0.666666666666667,"control","5"
"100","May","PE",32,21,0.65625,"exclosure","5"
"101","May","PF",21,15,0.714285714285714,"control","5"
"102","May","PF",55,41,0.745454545454545,"exclosure","5"
"103","May","PM",18,9,0.5,"control","5"
"104","May","PM",24,12,0.5,"exclosure","5"
"105","May","PP",377,215,0.570291777188329,"control","5"
"106","May","PP",310,196,0.632258064516129,"exclosure","5"
"107","May","RM",15,7,0.466666666666667,"control","5"
"108","May","RM",49,27,0.551020408163265,"exclosure","5"
"109","Nov","PB",139,15,0.107913669064748,"control","11"
"110","Nov","PB",335,51,0.152238805970149,"exclosure","11"
"111","Nov","PE",40,14,0.35,"control","11"
"112","Nov","PE",39,17,0.435897435897436,"exclosure","11"
"113","Nov","PF",35,5,0.142857142857143,"control","11"
"114","Nov","PF",51,4,0.0784313725490196,"exclosure","11"
"115","Nov","PM",5,3,0.6,"control","11"
"116","Nov","PM",14,6,0.428571428571429,"exclosure","11"
"117","Nov","PP",160,13,0.08125,"control","11"
"118","Nov","PP",156,17,0.108974358974359,"exclosure","11"
"119","Nov","RM",35,16,0.457142857142857,"control","11"
"120","Nov","RM",60,28,0.466666666666667,"exclosure","11"
"121","Oct","PB",140,19,0.135714285714286,"control","10"
"122","Oct","PB",318,61,0.191823899371069,"exclosure","10"
"123","Oct","PE",24,9,0.375,"control","10"
"124","Oct","PE",30,15,0.5,"exclosure","10"
"125","Oct","PF",38,12,0.315789473684211,"control","10"
"126","Oct","PF",62,22,0.354838709677419,"exclosure","10"
"127","Oct","PM",8,4,0.5,"control","10"
"128","Oct","PM",8,4,0.5,"exclosure","10"
"129","Oct","PP",368,59,0.160326086956522,"control","10"
"130","Oct","PP",363,71,0.195592286501377,"exclosure","10"
"131","Oct","RM",7,4,0.571428571428571,"control","10"
"132","Oct","RM",17,11,0.647058823529412,"exclosure","10"
"133","Sept","PB",144,11,0.0763888888888889,"control","9"
"134","Sept","PB",355,54,0.152112676056338,"exclosure","9"
"135","Sept","PE",14,7,0.5,"control","9"
"136","Sept","PE",23,15,0.652173913043478,"exclosure","9"
"137","Sept","PF",29,11,0.379310344827586,"control","9"
"138","Sept","PF",57,22,0.385964912280702,"exclosure","9"
"139","Sept","PM",3,1,0.333333333333333,"control","9"
"140","Sept","PM",6,5,0.833333333333333,"exclosure","9"
"141","Sept","PP",606,112,0.184818481848185,"control","9"
"142","Sept","PP",532,113,0.212406015037594,"exclosure","9"
"143","Sept","RM",3,2,0.666666666666667,"control","9"
"144","Sept","RM",9,9,1,"exclosure","9"
