"","X","month","Month","year","count","trt","repro","proportion","species"
"85",348,8,"Aug",2008,6,"control",1,0.166666666666667,"PB"
"86",349,8,"Aug",2009,3,"control",1,0.333333333333333,"PB"
"87",350,8,"Aug",2012,2,"control",1,0.5,"PB"
"88",351,8,"Aug",2014,2,"control",1,0.5,"PB"
"89",353,8,"Aug",2016,1,"control",1,1,"PB"
"90",358,9,"Sept",2001,7,"control",1,0.142857142857143,"PB"
"91",366,9,"Sept",2009,3,"control",1,0.333333333333333,"PB"
"92",367,9,"Sept",2012,4,"control",1,0.25,"PB"
"93",368,9,"Sept",2013,2,"control",1,0.5,"PB"
"94",375,10,"Oct",2001,8,"control",1,0.125,"PB"
"95",376,10,"Oct",2002,7,"control",1,0.142857142857143,"PB"
"96",377,10,"Oct",2003,5,"control",1,0.2,"PB"
"97",381,10,"Oct",2007,23,"control",1,0.0434782608695652,"PB"
"98",385,10,"Oct",2014,2,"control",1,0.5,"PB"
"99",394,11,"Nov",2002,9,"control",1,0.111111111111111,"PB"
"100",404,11,"Nov",2014,3,"control",1,0.333333333333333,"PB"
"101",410,12,"Dec",2001,3,"control",1,0.333333333333333,"PB"
"102",9,1,"Jan",2005,1,"exclosure",1,1,"PE"
"103",20,2,"Feb",1989,2,"exclosure",1,0.5,"PE"
"104",29,2,"Feb",2015,5,"exclosure",1,0.2,"PE"
"105",33,2,"Feb",2019,1,"exclosure",1,1,"PE"
"106",34,3,"Mar",1980,1,"exclosure",1,1,"PE"
"107",36,3,"Mar",1985,1,"exclosure",1,1,"PE"
"108",37,3,"Mar",1988,3,"exclosure",1,0.333333333333333,"PE"
"109",39,3,"Mar",1990,5,"exclosure",1,0.2,"PE"
"110",43,3,"Mar",2002,1,"exclosure",1,1,"PE"
"111",44,3,"Mar",2003,3,"exclosure",1,0.333333333333333,"PE"
"112",52,3,"Mar",2017,2,"exclosure",1,0.5,"PE"
"113",56,4,"Apr",1987,2,"exclosure",1,0.5,"PE"
"114",65,4,"Apr",2016,1,"exclosure",1,1,"PE"
"115",67,4,"Apr",2019,2,"exclosure",1,0.5,"PE"
"116",74,5,"May",1990,2,"exclosure",1,0.5,"PE"
"117",77,5,"May",1998,2,"exclosure",1,0.5,"PE"
"118",78,5,"May",2001,1,"exclosure",1,1,"PE"
"119",83,5,"May",2016,1,"exclosure",1,1,"PE"
"120",85,5,"May",2019,1,"exclosure",1,1,"PE"
"121",87,6,"Jun",1982,2,"exclosure",1,0.5,"PE"
"122",88,6,"Jun",1987,1,"exclosure",1,1,"PE"
"123",91,6,"Jun",1991,1,"exclosure",1,1,"PE"
"124",92,6,"Jun",1997,3,"exclosure",1,0.333333333333333,"PE"
"125",95,6,"Jun",2002,2,"exclosure",1,0.5,"PE"
"126",99,6,"Jun",2014,1,"exclosure",1,1,"PE"
"127",101,7,"Jul",1982,2,"exclosure",1,0.5,"PE"
"128",102,7,"Jul",1984,1,"exclosure",1,1,"PE"
"129",103,7,"Jul",1988,2,"exclosure",1,0.5,"PE"
"130",105,7,"Jul",1990,1,"exclosure",1,1,"PE"
"131",106,7,"Jul",1991,1,"exclosure",1,1,"PE"
"132",107,7,"Jul",1992,1,"exclosure",1,1,"PE"
"133",110,7,"Jul",2007,4,"exclosure",1,0.25,"PE"
"134",112,7,"Jul",2015,1,"exclosure",1,1,"PE"
"135",113,7,"Jul",2018,1,"exclosure",1,1,"PE"
"136",114,8,"Aug",1984,1,"exclosure",1,1,"PE"
"137",115,8,"Aug",1987,1,"exclosure",1,1,"PE"
"138",116,8,"Aug",1988,3,"exclosure",1,0.333333333333333,"PE"
"139",118,8,"Aug",1998,1,"exclosure",1,1,"PE"
"140",119,8,"Aug",2012,1,"exclosure",1,1,"PE"
"141",121,8,"Aug",2017,1,"exclosure",1,1,"PE"
"142",122,8,"Aug",2018,1,"exclosure",1,1,"PE"
"143",124,9,"Sept",1982,1,"exclosure",1,1,"PE"
"144",126,9,"Sept",1990,1,"exclosure",1,1,"PE"
"145",127,9,"Sept",1991,2,"exclosure",1,0.5,"PE"
"146",128,9,"Sept",1996,1,"exclosure",1,1,"PE"
"147",134,9,"Sept",2013,2,"exclosure",1,0.5,"PE"
"148",143,10,"Oct",1989,2,"exclosure",1,0.5,"PE"
"149",150,10,"Oct",2011,1,"exclosure",1,1,"PE"
"150",200,1,"Jan",1987,1,"control",1,1,"PE"
"151",218,2,"Feb",1980,1,"control",1,1,"PE"
"152",219,2,"Feb",1982,5,"control",1,0.2,"PE"
"153",221,2,"Feb",1985,2,"control",1,0.5,"PE"
"154",222,2,"Feb",1987,2,"control",1,0.5,"PE"
"155",224,2,"Feb",1989,5,"control",1,0.2,"PE"
"156",231,2,"Feb",2004,3,"control",1,0.333333333333333,"PE"
"157",237,2,"Feb",2015,4,"control",1,0.25,"PE"
"158",241,3,"Mar",1982,3,"control",1,0.333333333333333,"PE"
"159",245,3,"Mar",1987,2,"control",1,0.5,"PE"
"160",247,3,"Mar",1990,1,"control",1,1,"PE"
"161",254,3,"Mar",2007,2,"control",1,0.5,"PE"
"162",266,4,"Apr",1982,1,"control",1,1,"PE"
"163",269,4,"Apr",1986,1,"control",1,1,"PE"
"164",271,4,"Apr",1988,1,"control",1,1,"PE"
"165",273,4,"Apr",1991,1,"control",1,1,"PE"
"166",284,5,"May",1984,3,"control",1,0.333333333333333,"PE"
"167",291,5,"May",1997,1,"control",1,1,"PE"
"168",293,5,"May",2001,1,"control",1,1,"PE"
"169",294,5,"May",2002,3,"control",1,0.333333333333333,"PE"
"170",295,5,"May",2007,1,"control",1,1,"PE"
"171",302,6,"Jun",1981,1,"control",1,1,"PE"
"172",303,6,"Jun",1987,1,"control",1,1,"PE"
"173",305,6,"Jun",1989,2,"control",1,0.5,"PE"
"174",306,6,"Jun",1997,1,"control",1,1,"PE"
"175",317,7,"Jul",1984,1,"control",1,1,"PE"
"176",319,7,"Jul",1986,1,"control",1,1,"PE"
"177",322,7,"Jul",1989,2,"control",1,0.5,"PE"
"178",325,7,"Jul",2005,1,"control",1,1,"PE"
"179",331,8,"Aug",1982,2,"control",1,0.5,"PE"
"180",332,8,"Aug",1984,1,"control",1,1,"PE"
"181",333,8,"Aug",1987,3,"control",1,0.333333333333333,"PE"
"182",345,9,"Sept",1985,1,"control",1,1,"PE"
"183",347,9,"Sept",1989,1,"control",1,1,"PE"
"184",352,9,"Sept",2012,2,"control",1,0.5,"PE"
"185",359,10,"Oct",1985,4,"control",1,0.25,"PE"
"186",378,11,"Nov",1989,3,"control",1,0.333333333333333,"PE"
"187",388,11,"Nov",2013,3,"control",1,0.333333333333333,"PE"
"188",1,1,"Jan",2000,7,"exclosure",1,0.142857142857143,"PP"
"189",2,1,"Jan",2001,2,"exclosure",1,0.5,"PP"
"190",4,1,"Jan",2012,2,"exclosure",1,0.5,"PP"
"191",5,2,"Feb",1996,5,"exclosure",1,0.2,"PP"
"192",9,2,"Feb",2014,3,"exclosure",1,0.333333333333333,"PP"
"193",11,2,"Feb",2018,2,"exclosure",1,0.5,"PP"
"194",12,3,"Mar",1988,1,"exclosure",1,1,"PP"
"195",13,3,"Mar",1992,2,"exclosure",1,0.5,"PP"
"196",15,3,"Mar",1995,1,"exclosure",1,1,"PP"
"197",22,3,"Mar",2004,2,"exclosure",1,0.5,"PP"
"198",26,3,"Mar",2008,4,"exclosure",1,0.25,"PP"
"199",28,3,"Mar",2010,2,"exclosure",1,0.5,"PP"
"200",37,3,"Mar",2019,5,"exclosure",1,0.2,"PP"
"201",38,4,"Apr",1984,1,"exclosure",1,1,"PP"
"202",39,4,"Apr",1985,1,"exclosure",1,1,"PP"
"203",41,4,"Apr",1987,1,"exclosure",1,1,"PP"
"204",44,4,"Apr",1990,1,"exclosure",1,1,"PP"
"205",45,4,"Apr",1991,1,"exclosure",1,1,"PP"
"206",55,4,"Apr",2004,1,"exclosure",1,1,"PP"
"207",71,5,"May",1979,1,"exclosure",1,1,"PP"
"208",73,5,"May",1985,1,"exclosure",1,1,"PP"
"209",77,5,"May",1990,1,"exclosure",1,1,"PP"
"210",80,5,"May",1993,5,"exclosure",1,0.2,"PP"
"211",105,6,"Jun",1986,1,"exclosure",1,1,"PP"
"212",106,6,"Jun",1987,1,"exclosure",1,1,"PP"
"213",112,6,"Jun",1997,10,"exclosure",1,0.1,"PP"
"214",115,6,"Jun",2001,1,"exclosure",1,1,"PP"
"215",119,6,"Jun",2005,8,"exclosure",1,0.125,"PP"
"216",131,7,"Jul",1984,1,"exclosure",1,1,"PP"
"217",132,7,"Jul",1985,1,"exclosure",1,1,"PP"
"218",133,7,"Jul",1988,2,"exclosure",1,0.5,"PP"
"219",134,7,"Jul",1990,2,"exclosure",1,0.5,"PP"
"220",146,7,"Jul",2007,19,"exclosure",1,0.0526315789473684,"PP"
"221",148,7,"Jul",2009,3,"exclosure",1,0.333333333333333,"PP"
"222",157,7,"Jul",2019,6,"exclosure",1,0.166666666666667,"PP"
"223",158,8,"Aug",1985,2,"exclosure",1,0.5,"PP"
"224",163,8,"Aug",2004,8,"exclosure",1,0.125,"PP"
"225",164,8,"Aug",2005,13,"exclosure",1,0.0769230769230769,"PP"
"226",165,8,"Aug",2006,5,"exclosure",1,0.2,"PP"
"227",166,8,"Aug",2007,12,"exclosure",1,0.0833333333333333,"PP"
"228",172,9,"Sept",1994,3,"exclosure",1,0.333333333333333,"PP"
"229",173,9,"Sept",2003,2,"exclosure",1,0.5,"PP"
"230",174,9,"Sept",2004,9,"exclosure",1,0.111111111111111,"PP"
"231",178,9,"Sept",2013,18,"exclosure",1,0.0555555555555556,"PP"
"232",179,9,"Sept",2015,18,"exclosure",1,0.0555555555555556,"PP"
"233",181,9,"Sept",2017,20,"exclosure",1,0.05,"PP"
"234",184,10,"Oct",2004,10,"exclosure",1,0.1,"PP"
"235",185,10,"Oct",2005,4,"exclosure",1,0.25,"PP"
"236",190,12,"Dec",1999,5,"exclosure",1,0.2,"PP"
"237",191,1,"Jan",2000,9,"control",1,0.111111111111111,"PP"
"238",195,2,"Feb",2004,1,"control",1,1,"PP"
"239",199,3,"Mar",1982,2,"control",1,0.5,"PP"
"240",200,3,"Mar",1986,1,"control",1,1,"PP"
"241",201,3,"Mar",1993,3,"control",1,0.333333333333333,"PP"
"242",213,3,"Mar",2008,3,"control",1,0.333333333333333,"PP"
"243",216,3,"Mar",2013,3,"control",1,0.333333333333333,"PP"
"244",222,3,"Mar",2019,2,"control",1,0.5,"PP"
"245",223,4,"Apr",1985,1,"control",1,1,"PP"
"246",225,4,"Apr",1988,1,"control",1,1,"PP"
"247",227,4,"Apr",1994,1,"control",1,1,"PP"
"248",250,5,"May",1978,1,"control",1,1,"PP"
"249",251,5,"May",1979,1,"control",1,1,"PP"
"250",252,5,"May",1980,1,"control",1,1,"PP"
"251",253,5,"May",1983,2,"control",1,0.5,"PP"
"252",255,5,"May",1987,1,"control",1,1,"PP"
"253",256,5,"May",1988,1,"control",1,1,"PP"
"254",257,5,"May",1991,1,"control",1,1,"PP"
"255",258,5,"May",1992,1,"control",1,1,"PP"
"256",261,5,"May",1999,2,"control",1,0.5,"PP"
"257",282,6,"Jun",1980,1,"control",1,1,"PP"
"258",283,6,"Jun",1982,1,"control",1,1,"PP"
"259",284,6,"Jun",1983,1,"control",1,1,"PP"
"260",286,6,"Jun",1996,2,"control",1,0.5,"PP"
"261",288,6,"Jun",1998,7,"control",1,0.142857142857143,"PP"
"262",307,7,"Jul",1978,2,"control",1,0.5,"PP"
"263",308,7,"Jul",1983,1,"control",1,1,"PP"
"264",309,7,"Jul",1991,3,"control",1,0.333333333333333,"PP"
"265",310,7,"Jul",1992,9,"control",1,0.111111111111111,"PP"
"266",311,7,"Jul",1993,2,"control",1,0.5,"PP"
"267",313,7,"Jul",1996,5,"control",1,0.2,"PP"
"268",314,7,"Jul",1998,5,"control",1,0.2,"PP"
"269",317,7,"Jul",2003,13,"control",1,0.0769230769230769,"PP"
"270",330,7,"Jul",2017,15,"control",1,0.0666666666666667,"PP"
"271",333,8,"Aug",1981,1,"control",1,1,"PP"
"272",334,8,"Aug",1984,3,"control",1,0.333333333333333,"PP"
"273",335,8,"Aug",1985,1,"control",1,1,"PP"
"274",336,8,"Aug",1991,1,"control",1,1,"PP"
"275",338,8,"Aug",2006,2,"control",1,0.5,"PP"
"276",339,8,"Aug",2007,14,"control",1,0.0714285714285714,"PP"
"277",343,8,"Aug",2012,36,"control",1,0.0277777777777778,"PP"
"278",344,8,"Aug",2014,51,"control",1,0.0196078431372549,"PP"
"279",349,9,"Sept",1985,3,"control",1,0.333333333333333,"PP"
"280",351,9,"Sept",2005,35,"control",1,0.0285714285714286,"PP"
"281",354,9,"Sept",2008,10,"control",1,0.1,"PP"
"282",356,9,"Sept",2012,30,"control",1,0.0333333333333333,"PP"
"283",357,9,"Sept",2013,20,"control",1,0.05,"PP"
"284",362,10,"Oct",2001,9,"control",1,0.111111111111111,"PP"
"285",363,10,"Oct",2002,9,"control",1,0.111111111111111,"PP"
"286",364,10,"Oct",2005,14,"control",1,0.0714285714285714,"PP"
"287",367,10,"Oct",2017,9,"control",1,0.111111111111111,"PP"
"288",368,10,"Oct",2019,13,"control",1,0.0769230769230769,"PP"
"289",369,11,"Nov",1999,14,"control",1,0.0714285714285714,"PP"
"290",372,12,"Dec",2002,11,"control",1,0.0909090909090909,"PP"
"291",373,12,"Dec",2006,30,"control",1,0.0333333333333333,"PP"
"292",1,1,"Jan",1978,1,"exclosure",1,1,"PF"
"293",3,1,"Jan",1981,2,"exclosure",1,0.5,"PF"
"294",7,1,"Jan",1991,3,"exclosure",1,0.333333333333333,"PF"
"295",14,1,"Jan",2015,3,"exclosure",1,0.333333333333333,"PF"
"296",21,2,"Feb",1992,1,"exclosure",1,1,"PF"
"297",24,2,"Feb",1995,1,"exclosure",1,1,"PF"
"298",27,2,"Feb",2002,1,"exclosure",1,1,"PF"
"299",29,2,"Feb",2012,4,"exclosure",1,0.25,"PF"
"300",32,3,"Mar",1978,1,"exclosure",1,1,"PF"
"301",34,3,"Mar",1981,1,"exclosure",1,1,"PF"
"302",39,3,"Mar",1992,1,"exclosure",1,1,"PF"
"303",41,3,"Mar",1994,1,"exclosure",1,1,"PF"
"304",60,4,"Apr",1991,1,"exclosure",1,1,"PF"
"305",69,4,"Apr",2012,1,"exclosure",1,1,"PF"
"306",73,5,"May",1980,2,"exclosure",1,0.5,"PF"
"307",75,5,"May",1982,1,"exclosure",1,1,"PF"
"308",77,5,"May",1984,1,"exclosure",1,1,"PF"
"309",78,5,"May",1991,1,"exclosure",1,1,"PF"
"310",85,5,"May",2004,1,"exclosure",1,1,"PF"
"311",90,6,"Jun",1978,1,"exclosure",1,1,"PF"
"312",91,6,"Jun",1981,1,"exclosure",1,1,"PF"
"313",95,6,"Jun",1991,1,"exclosure",1,1,"PF"
"314",96,6,"Jun",1993,1,"exclosure",1,1,"PF"
"315",97,6,"Jun",1994,1,"exclosure",1,1,"PF"
"316",102,6,"Jun",2003,1,"exclosure",1,1,"PF"
"317",108,7,"Jul",1978,1,"exclosure",1,1,"PF"
"318",110,7,"Jul",1980,1,"exclosure",1,1,"PF"
"319",121,7,"Jul",2003,1,"exclosure",1,1,"PF"
"320",123,7,"Jul",2008,1,"exclosure",1,1,"PF"
"321",128,8,"Aug",1978,1,"exclosure",1,1,"PF"
"322",129,8,"Aug",1980,2,"exclosure",1,0.5,"PF"
"323",130,8,"Aug",1981,1,"exclosure",1,1,"PF"
"324",133,8,"Aug",1984,1,"exclosure",1,1,"PF"
"325",148,9,"Sept",1984,1,"exclosure",1,1,"PF"
"326",149,9,"Sept",1989,1,"exclosure",1,1,"PF"
"327",150,9,"Sept",1991,1,"exclosure",1,1,"PF"
"328",159,9,"Sept",2016,1,"exclosure",1,1,"PF"
"329",160,9,"Sept",2019,1,"exclosure",1,1,"PF"
"330",161,10,"Oct",1979,1,"exclosure",1,1,"PF"
"331",162,10,"Oct",1980,1,"exclosure",1,1,"PF"
"332",165,10,"Oct",1989,1,"exclosure",1,1,"PF"
"333",167,10,"Oct",1991,1,"exclosure",1,1,"PF"
"334",170,10,"Oct",1994,1,"exclosure",1,1,"PF"
"335",174,10,"Oct",2001,1,"exclosure",1,1,"PF"
"336",176,10,"Oct",2008,1,"exclosure",1,1,"PF"
"337",179,10,"Oct",2014,1,"exclosure",1,1,"PF"
"338",181,10,"Oct",2019,1,"exclosure",1,1,"PF"
"339",185,11,"Nov",1981,1,"exclosure",1,1,"PF"
"340",186,11,"Nov",1982,5,"exclosure",1,0.2,"PF"
"341",188,11,"Nov",1989,1,"exclosure",1,1,"PF"
"342",192,11,"Nov",1996,3,"exclosure",1,0.333333333333333,"PF"
"343",193,11,"Nov",2001,1,"exclosure",1,1,"PF"
"344",197,12,"Dec",1977,1,"exclosure",1,1,"PF"
"345",200,12,"Dec",1989,2,"exclosure",1,0.5,"PF"
"346",201,12,"Dec",1990,3,"exclosure",1,0.333333333333333,"PF"
"347",208,12,"Dec",2004,1,"exclosure",1,1,"PF"
"348",211,12,"Dec",2014,1,"exclosure",1,1,"PF"
"349",213,1,"Jan",1980,1,"control",1,1,"PF"
"350",216,1,"Jan",1983,4,"control",1,0.25,"PF"
"351",217,1,"Jan",1996,3,"control",1,0.333333333333333,"PF"
"352",218,2,"Feb",1981,1,"control",1,1,"PF"
"353",219,2,"Feb",1982,1,"control",1,1,"PF"
"354",224,2,"Feb",2003,1,"control",1,1,"PF"
"355",227,3,"Mar",1978,1,"control",1,1,"PF"
"356",231,3,"Mar",1993,1,"control",1,1,"PF"
"357",232,3,"Mar",1996,3,"control",1,0.333333333333333,"PF"
"358",234,3,"Mar",2001,1,"control",1,1,"PF"
"359",235,3,"Mar",2002,1,"control",1,1,"PF"
"360",238,3,"Mar",2007,1,"control",1,1,"PF"
"361",240,3,"Mar",2013,1,"control",1,1,"PF"
"362",244,4,"Apr",1982,1,"control",1,1,"PF"
"363",246,4,"Apr",1992,1,"control",1,1,"PF"
"364",247,4,"Apr",1995,2,"control",1,0.5,"PF"
"365",250,4,"Apr",2002,1,"control",1,1,"PF"
"366",251,4,"Apr",2006,1,"control",1,1,"PF"
"367",252,4,"Apr",2012,2,"control",1,0.5,"PF"
"368",256,5,"May",1981,1,"control",1,1,"PF"
"369",259,5,"May",1984,1,"control",1,1,"PF"
"370",260,5,"May",1993,1,"control",1,1,"PF"
"371",263,5,"May",2001,1,"control",1,1,"PF"
"372",264,5,"May",2002,1,"control",1,1,"PF"
"373",267,5,"May",2009,1,"control",1,1,"PF"
"374",268,5,"May",2012,2,"control",1,0.5,"PF"
"375",269,5,"May",2015,1,"control",1,1,"PF"
"376",271,6,"Jun",1980,3,"control",1,0.333333333333333,"PF"
"377",277,6,"Jun",2003,1,"control",1,1,"PF"
"378",279,6,"Jun",2012,1,"control",1,1,"PF"
"379",283,7,"Jul",1980,1,"control",1,1,"PF"
"380",286,7,"Jul",1983,1,"control",1,1,"PF"
"381",287,7,"Jul",1991,1,"control",1,1,"PF"
"382",288,7,"Jul",1993,1,"control",1,1,"PF"
"383",289,7,"Jul",1995,1,"control",1,1,"PF"
"384",292,7,"Jul",2003,1,"control",1,1,"PF"
"385",294,7,"Jul",2015,1,"control",1,1,"PF"
"386",299,8,"Aug",1993,2,"control",1,0.5,"PF"
"387",303,8,"Aug",2003,1,"control",1,1,"PF"
"388",304,8,"Aug",2012,1,"control",1,1,"PF"
"389",305,8,"Aug",2015,1,"control",1,1,"PF"
"390",308,9,"Sept",1980,1,"control",1,1,"PF"
"391",316,9,"Sept",2003,1,"control",1,1,"PF"
"392",318,9,"Sept",2008,1,"control",1,1,"PF"
"393",319,9,"Sept",2015,1,"control",1,1,"PF"
"394",320,10,"Oct",1977,1,"control",1,1,"PF"
"395",322,10,"Oct",1980,1,"control",1,1,"PF"
"396",327,10,"Oct",1994,1,"control",1,1,"PF"
"397",331,10,"Oct",2001,2,"control",1,0.5,"PF"
"398",337,11,"Nov",1982,11,"control",1,0.0909090909090909,"PF"
"399",341,11,"Nov",2005,1,"control",1,1,"PF"
"400",346,12,"Dec",1996,1,"control",1,1,"PF"
"401",4,1,"Jan",1987,2,"exclosure",1,0.5,"PM"
"402",12,2,"Feb",1987,2,"exclosure",1,0.5,"PM"
"403",14,2,"Feb",1989,4,"exclosure",1,0.25,"PM"
"404",18,2,"Feb",1999,3,"exclosure",1,0.333333333333333,"PM"
"405",19,2,"Feb",2002,1,"exclosure",1,1,"PM"
"406",22,3,"Mar",1982,4,"exclosure",1,0.25,"PM"
"407",23,3,"Mar",1983,1,"exclosure",1,1,"PM"
"408",25,3,"Mar",1987,2,"exclosure",1,0.5,"PM"
"409",26,3,"Mar",1988,3,"exclosure",1,0.333333333333333,"PM"
"410",29,3,"Mar",1997,2,"exclosure",1,0.5,"PM"
"411",31,3,"Mar",2007,2,"exclosure",1,0.5,"PM"
"412",38,4,"Apr",1984,1,"exclosure",1,1,"PM"
"413",41,4,"Apr",1988,1,"exclosure",1,1,"PM"
"414",42,4,"Apr",1989,1,"exclosure",1,1,"PM"
"415",43,4,"Apr",1996,2,"exclosure",1,0.5,"PM"
"416",47,4,"Apr",2005,1,"exclosure",1,1,"PM"
"417",49,5,"May",1982,1,"exclosure",1,1,"PM"
"418",50,5,"May",1984,2,"exclosure",1,0.5,"PM"
"419",52,5,"May",1988,1,"exclosure",1,1,"PM"
"420",53,5,"May",1989,1,"exclosure",1,1,"PM"
"421",54,5,"May",1997,4,"exclosure",1,0.25,"PM"
"422",55,5,"May",1998,1,"exclosure",1,1,"PM"
"423",60,6,"Jun",1981,1,"exclosure",1,1,"PM"
"424",62,6,"Jun",1983,2,"exclosure",1,0.5,"PM"
"425",63,6,"Jun",1986,1,"exclosure",1,1,"PM"
"426",64,6,"Jun",1987,1,"exclosure",1,1,"PM"
"427",65,6,"Jun",1989,2,"exclosure",1,0.5,"PM"
"428",68,6,"Jun",2015,2,"exclosure",1,0.5,"PM"
"429",69,7,"Jul",1981,1,"exclosure",1,1,"PM"
"430",72,7,"Jul",1986,2,"exclosure",1,0.5,"PM"
"431",74,7,"Jul",1988,1,"exclosure",1,1,"PM"
