"","recordID","month","day","year","period","plot","note1","stake","species","sex","reprod","age","testes","vagina","pregnant","nipples","lactation","hfl","wgt","tag","note2","ltag","note3","prevrt","prevlet","nestdir","neststk","note4","note5","treatment","resourcetreatment","anttreatment","Month"
"25",2127,10,25,1979,28,15,NA,54,"PP","F","","","","","","E","",21,16,"110","","0","","0","0","",0,"","","exclosure","none","rugosus","Oct"
"26",2272,1,15,1980,30,11,NA,12,"PF","F","","","","","P","","",16,10,"8002","","0","","0","0","",0,"","","control","none","none","Jan"
"27",2393,1,16,1980,30,3,NA,53,"PF","F","","","","S","","","",15,7,"111","","0","","0","0","",0,"","D","exclosure","none","none","Jan"
"28",2405,1,16,1980,30,15,NA,74,"PF","F","","","","S","","","",16,7,"7001","","0","","0","0","",0,"","","exclosure","none","rugosus","Jan"
"29",2414,2,24,1980,31,11,NA,12,"PF","F","","","","","","E","",15,7,"8002","","0","","0","0","",0,"","","control","none","none","Feb"
"30",2425,2,24,1980,31,11,NA,34,"RM","F","","","","","P","","",17,16,"6110","","0","","0","0","",0,"","","control","none","none","Feb"
"31",2432,2,24,1980,31,21,NA,53,"RM","F","","","","","","E","",14,8,"9001","","0","","0","0","",0,"","","exclosure","none","rugosus","Feb"
"32",2514,2,25,1980,31,4,NA,34,"PF","F","","","","","","E","",15,7,"8004","","0","","0","0","",0,"","","control","none","all_ants","Feb"
"33",2536,3,9,1980,-31.5,2,5,11,"PF","F","","","","","","B","L",NA,7,"101","","0","","0","0","",0,"","","control","small_seeds","none","Mar"
"34",2572,3,9,1980,-31.5,1,5,21,"PE","F","","","","S","P","","",NA,24,"2215","","0","","0","0","",0,"","","control","mixed_pulse","none","Mar"
"35",2573,3,9,1980,-31.5,3,5,21,"RM","F","","","","","P","","",NA,14,"6100","","0","","0","0","",0,"","","exclosure","none","none","Mar"
"36",2581,3,9,1980,-31.5,21,5,22,"RM","F","","","","","","B","",NA,11,"5100","","0","","0","0","",0,"","","exclosure","none","rugosus","Mar"
"37",2625,3,9,1980,-31.5,20,5,36,"RM","F","","","","","P","","",NA,16,"8110","","0","","0","0","",0,"","","control","mixed_seeds","none","Mar"
"38",2711,3,9,1980,-31.5,19,5,67,"PE","F","","","","","P","","",NA,23,"2101","","0","","0","0","",0,"","","exclosure","none","none","Mar"
"39",2758,3,21,1980,32,12,1,35,"RM","F","","","","","P","","",NA,NA,"6110","","0","","0","0","",NA,"","E","control","none","rugosus","Mar"
"40",2776,3,21,1980,32,19,NA,67,"PE","F","","","","","P","","",NA,21,"2101","","0","","0","0","",0,"","","exclosure","none","none","Mar"
"41",2807,3,22,1980,32,15,NA,41,"PF","F","","","","","P","","",NA,11,"6113","","0","","0","0","",0,"","","exclosure","none","rugosus","Mar"
"42",2835,4,17,1980,33,1,NA,25,"PF","F","","","","S","","","",NA,7,"5001","","0","","0","0","",0,"","","control","mixed_pulse","none","Apr"
"43",2848,4,17,1980,33,10,NA,52,"RM","F","","","","","P","","",NA,12,"6110","","0","","0","0","",0,"","R","removal","none","all_ants","Apr"
"44",2870,4,18,1980,33,15,NA,11,"PF","F","","","","","P","","",NA,8,"6003","","0","","0","0","",0,"","","exclosure","none","rugosus","Apr"
"45",2921,5,17,1980,34,24,NA,15,"PE","F","","","","","P","","",20,33,"2391","","0","","0","0","",0,"","","spectabs","none","none","May"
"46",2928,5,17,1980,34,11,NA,32,"PF","F","","","","","P","E","",15,8,"8002","","0","","0","0","",0,"","","control","none","none","May"
"47",2953,5,17,1980,34,1,NA,75,"PP","F","","","","","P","","",20,19,"5100","","0","","0","0","",0,"","","control","mixed_pulse","none","May"
"48",2990,5,18,1980,34,3,NA,55,"PF","F","","","","S","","","",15,7,"7002","","0","","0","0","",0,"","","exclosure","none","none","May"
"49",3128,7,21,1980,36,24,NA,17,"PE","F","","","","","P","","",20,35,"2391","","0","","0","0","",0,"","","spectabs","none","none","Jul"
"50",3175,7,22,1980,36,15,NA,52,"PF","F","","","","","","E","",14,8,"6003","","0","","0","0","",0,"","","exclosure","none","rugosus","Jul"
"51",3228,8,14,1980,37,3,NA,47,"PF","F","","","","","P","","",16,10,"7002","","0","","0","0","",0,"","","exclosure","none","none","Aug"
"52",3233,8,14,1980,37,1,NA,55,"PP","F","","","","","P","","",21,18,"114","","0","","0","0","",0,"","","control","mixed_pulse","none","Aug"
"53",3239,8,14,1980,37,13,NA,67,"PF","F","","","","","P","","",14,10,"5002","","0","","0","0","",0,"","","control","large_seeds","none","Aug"
"54",3273,9,7,1980,38,13,NA,51,"PF","F","","","","","P","","",15,9,"5002","","0","","0","0","",0,"","","control","large_seeds","none","Sept"
"55",3286,9,7,1980,38,19,NA,67,"PE","F","","","","","","E","L",21,27,"2391","","0","","0","0","",0,"","","exclosure","none","none","Sept"
"56",3289,9,7,1980,38,22,NA,73,"PF","F","","","","","P","","",16,8,"7014","","0","","0","0","SE",51,"","","control","small_seeds","none","Sept"
"57",3313,9,8,1980,38,15,NA,51,"PF","F","","","","S","","","",14,8,"6003","","0","","0","0","",0,"","","exclosure","none","rugosus","Sept"
"58",3323,9,8,1980,38,3,NA,67,"PF","F","","","","","","E","",15,6,"7002","","0","","0","0","",0,"","","exclosure","none","none","Sept"
"59",3355,10,11,1980,39,1,1,63,"PF","F","","","","","","E","",15,NA,"6012","","0","","0","0","",0,"","","control","mixed_pulse","none","Oct"
"60",3362,10,11,1980,39,22,NA,74,"PF","F","","","","","P","","",16,8,"7014","","0","","0","0","",0,"","","control","small_seeds","none","Oct"
"61",3682,12,16,1980,41,17,NA,76,"PE","F","","","","","P","","",20,19,"2749","","0","","0","0","",0,"","","control","none","all_ants","Dec"
"62",3687,1,11,1981,42,20,NA,11,"PE","F","","","","","P","","",19,19,"2749","","0","","0","0","",0,"","","control","mixed_seeds","none","Jan"
"63",3765,1,12,1981,-42,10,9,87,"PM","F","","","","","P","","",19,26,"2776","","0","","0","0","",0,"","","removal","none","all_ants","Jan"
"64",3817,1,31,1981,43,20,NA,16,"PE","F","","","","","P","","",20,25,"2749","","0","","0","0","",0,"","","control","mixed_seeds","none","Jan"
"65",3830,1,31,1981,43,22,NA,27,"PF","F","","","","","","E","",15,7,"7014","","0","","0","0","",0,"","","control","small_seeds","none","Jan"
"66",3838,1,31,1981,43,19,1,44,"RM","F","","","","","P","","",16,NA,"11","","0","","0","0","",0,"","","exclosure","none","none","Jan"
"67",3866,2,1,1981,43,15,NA,11,"PF","F","","","","","P","","",15,8,"8103","","0","","0","0","",0,"","","exclosure","none","rugosus","Feb"
"68",3912,3,8,1981,44,23,NA,13,"RM","F","","","","","P","","",17,13,"11","","0","","0","0","",NA,"","R","removal","none","all_ants","Mar"
"69",3982,3,9,1981,44,3,NA,26,"PF","F","","","","S","","","",16,6,"8014","","0","","0","0","",NA,"","","exclosure","none","none","Mar"
"70",3987,3,9,1981,44,4,NA,32,"PF","F","","","","","","E","",16,9,"5011","","0","","0","0","",NA,"","","control","none","all_ants","Mar"
"71",4002,3,9,1981,44,3,NA,55,"PF","F","","","","","","E","",16,7,"7002","","0","","0","0","",NA,"","","exclosure","none","none","Mar"
"72",4042,4,5,1981,-44.5,17,5,16,"PE","F","","","","","P","","",NA,30,"2749","","0","","0","0","",NA,"","","control","none","all_ants","Apr"
"73",4118,4,5,1981,-44.5,23,5,47,"RM","F","","","","","P","","",NA,17,"11","","0","","0","0","",NA,"","R","removal","none","all_ants","Apr"
"74",4375,5,3,1981,45,19,NA,33,"PM","F","","","","","P","","",20,25,"2862","","0","","0","0","",NA,"","","exclosure","none","none","May"
"75",4379,5,3,1981,45,23,NA,34,"RM","F","","","","","P","","",17,15,"11","","0","","0","0","",NA,"","R","removal","none","all_ants","May"
"76",4466,5,4,1981,45,4,NA,41,"PF","F","","","","","","","L",14,8,"5011","","0","","0","0","",NA,"","","control","none","all_ants","May"
"77",4484,5,4,1981,45,5,NA,75,"PF","F","","","","","P","","",14,9,"7102","","0","","0","0","",NA,"","","spectabs","none","none","May"
"78",4540,6,4,1981,46,15,NA,67,"PM","F","","","","","P","","",22,20,"2978","","0","","0","0","",NA,"","","exclosure","none","rugosus","Jun"
"79",4557,6,5,1981,46,24,NA,11,"PE","F","","","","","P","","",20,23,"2903","","0","","0","0","",NA,"","","spectabs","none","none","Jun"
"80",4566,6,5,1981,46,11,NA,23,"PP","F","","","","","P","","",22,18,"13","","0","","0","0","",NA,"","","control","none","none","Jun"
"81",4569,6,5,1981,46,22,NA,33,"PF","F","","","","","","E","",16,7,"7014","","0","","0","0","",NA,"","","control","small_seeds","none","Jun"
"82",4894,10,24,1981,51,20,NA,51,"PE","F","","","","","P","","",21,24,"4907","","0","","0","0","",NA,"","","control","mixed_seeds","none","Oct"
"83",4942,10,26,1981,51,8,NA,23,"PF","F","","","","","P","","",15,9,"8114","","0","","0","0","",NA,"","","control","none","rugosus","Oct"
"84",5005,11,22,1981,52,18,NA,77,"PM","F","","","","","P","","",21,24,"3121","","0","","0","0","",NA,"","","control","mixed_pulse","none","Nov"
"85",5008,11,22,1981,52,24,NA,77,"RM","F","","","","","P","","",17,11,"9001","","0","","0","0","",NA,"","","spectabs","none","none","Nov"
"86",5031,11,23,1981,52,3,NA,31,"RM","F","","","","S","","","",17,9,"2","","0","","0","0","",NA,"","","exclosure","none","none","Nov"
"87",5076,11,23,1981,52,2,NA,76,"PE","F","","","","","P","","",21,19,"3131","","0","","0","0","",NA,"","","control","small_seeds","none","Nov"
"88",5085,12,30,1981,53,15,NA,25,"PE","F","","","","S","","","",22,16,"4915","","0","","0","0","",NA,"","","exclosure","none","rugosus","Dec"
"89",5088,12,30,1981,53,17,NA,26,"RM","F","","","","","","B","",17,10,"112","","0","","0","0","",NA,"","","control","none","all_ants","Dec"
"90",5095,12,30,1981,53,19,NA,45,"RM","F","","","","","P","","",19,14,"3","","0","","0","0","",NA,"","","exclosure","none","none","Dec"
"91",5096,12,30,1981,53,19,NA,52,"PE","F","","","","S","","","",22,20,"4921","","4921","","0","0","",NA,"","","exclosure","none","none","Dec"
"92",5114,12,31,1981,53,12,NA,14,"RM","F","","","","S","","","",16,9,"114","","0","","0","0","",NA,"","","control","none","rugosus","Dec"
"93",5142,12,31,1981,53,11,NA,47,"RM","F","","","","","P","","",17,14,"14","","0","","0","0","",NA,"","","control","none","none","Dec"
"94",5178,1,1,1982,53,2,NA,45,"PE","F","","","","","P","","",20,25,"3131","","0","","0","0","",NA,"","","control","small_seeds","none","Jan"
"95",5182,1,1,1982,53,3,NA,52,"RM","F","","","","","P","","",16,15,"114","","0","","0","0","",NA,"","","exclosure","none","none","Jan"
"96",5184,1,1,1982,53,2,NA,57,"PE","F","","","","","P","","",19,21,"4946","","0","","0","0","",NA,"","","control","small_seeds","none","Jan"
"97",5188,1,1,1982,53,3,NA,64,"RM","F","","","","","P","","",16,16,"104","","0","","0","0","",NA,"","","exclosure","none","none","Jan"
"98",5212,1,24,1982,54,21,NA,22,"RM","F","","","","S","","","",16,8,"6003","","0","","0","0","",NA,"","","exclosure","none","rugosus","Jan"
"99",5213,1,24,1982,54,7,NA,22,"PE","F","","","","","P","","",19,22,"4946","","0","","0","0","",NA,"","","removal","none","none","Jan"
"100",5217,1,24,1982,54,12,NA,25,"RM","F","","","","","P","B","",18,13,"8012","","0","","0","0","",NA,"","","control","none","rugosus","Jan"
"101",5225,1,24,1982,54,24,NA,33,"PE","F","","","","","P","","",20,21,"4980","","0","","0","0","",NA,"","","spectabs","none","none","Jan"
"102",5242,1,24,1982,54,11,NA,52,"RM","F","","","","","P","","",17,14,"14","","0","","0","0","",NA,"","","control","none","none","Jan"
"103",5264,1,24,1982,54,21,NA,75,"RM","F","","","","","P","","",16,10,"6002","","0","","0","0","",NA,"","","exclosure","none","rugosus","Jan"
"104",5269,1,25,1982,54,3,NA,12,"PE","F","","","","","P","","",19,30,"3131","","0","","0","0","",NA,"","","exclosure","none","none","Jan"
"105",5273,1,25,1982,54,15,NA,14,"PE","F","","","","","P","","",21,18,"4914","","0","","0","0","",NA,"","","exclosure","none","rugosus","Jan"
"106",5295,1,25,1982,54,3,NA,43,"RM","F","","","","","P","","",16,13,"104","","0","","0","0","",NA,"","","exclosure","none","none","Jan"
"107",5298,1,25,1982,54,13,NA,46,"PF","F","","","","","P","","",15,11,"13","","0","","0","0","",NA,"","","control","large_seeds","none","Jan"
"108",5307,1,25,1982,54,3,NA,56,"RM","F","","","","","P","","",16,12,"114","","0","","0","0","",NA,"","","exclosure","none","none","Jan"
"109",5323,1,25,1982,54,16,NA,75,"PE","F","","","","","P","","",21,29,"3127","","0","","0","0","",NA,"","","removal","none","none","Jan"
"110",5342,2,22,1982,55,12,NA,26,"RM","F","","","","","P","","",16,13,"8012","","0","","0","0","",NA,"","","control","none","rugosus","Feb"
"111",5343,2,22,1982,55,24,NA,26,"PE","F","","","","","P","","",20,21,"4980","","0","","0","0","",NA,"","","spectabs","none","none","Feb"
"112",5351,2,22,1982,55,19,NA,35,"PE","F","","","","","P","","",21,24,"4921","","4921","","0","0","",NA,"","","exclosure","none","none","Feb"
"113",5352,2,22,1982,55,21,1,36,"PM","F","","","","P","","","",NA,NA,"4996","","0","","0","0","",NA,"","E","exclosure","none","rugosus","Feb"
"114",5362,2,22,1982,55,21,NA,47,"PF","F","","","","S","","","",16,8,"14","","0","","0","0","",NA,"","","exclosure","none","rugosus","Feb"
"115",5371,2,22,1982,55,20,NA,61,"PE","F","","","","","P","","",19,26,"3127","","0","","0","0","",NA,"","","control","mixed_seeds","none","Feb"
"116",5375,2,22,1982,55,21,NA,67,"PF","F","","","","S","","","",16,7,"113","","0","","0","0","",NA,"","","exclosure","none","rugosus","Feb"
"117",5376,2,22,1982,55,19,NA,67,"RM","F","","","","","P","","",17,10,"7011","","0","","0","0","",NA,"","","exclosure","none","none","Feb"
"118",5386,2,23,1982,55,3,NA,11,"PE","F","","","","","P","","",20,19,"3447","","0","","0","0","",NA,"","","exclosure","none","none","Feb"
"119",5395,2,23,1982,55,11,NA,15,"RM","F","","","","","P","","",17,13,"5112","","0","","0","0","",NA,"","","control","none","none","Feb"
"120",5423,2,23,1982,55,11,NA,35,"RM","F","","","","S","","","",17,11,"14","","0","","0","0","",NA,"","","control","none","none","Feb"
"121",5430,2,23,1982,55,13,NA,47,"PF","F","","","","","P","","",16,6,"13","","0","","0","0","",NA,"","","control","large_seeds","none","Feb"
"122",5435,2,23,1982,55,3,NA,51,"PF","F","","","","","P","","",16,8,"111","","0","","0","0","",NA,"","","exclosure","none","none","Feb"
"123",5439,2,23,1982,55,3,NA,57,"RM","F","","","","","P","","",17,15,"104","","0","","0","0","",NA,"","","exclosure","none","none","Feb"
"124",5447,2,23,1982,55,3,NA,63,"RM","F","","","","","P","","",17,13,"111","","0","","0","0","",NA,"","","exclosure","none","none","Feb"
"125",5477,2,24,1982,55,2,NA,33,"RM","F","","","","S","","","",17,8,"5013","","0","","0","0","",NA,"","","control","small_seeds","none","Feb"
"126",5490,2,24,1982,55,2,NA,61,"PE","F","","","","","P","","",19,20,"4946","","0","","0","0","",NA,"","","control","small_seeds","none","Feb"
"127",5520,3,29,1982,56,21,NA,21,"RM","F","","","","","P","","",16,10,"997","","0","","0","0","",NA,"","","exclosure","none","rugosus","Mar"
"128",5522,3,29,1982,56,24,NA,23,"RM","F","","","","S","","","",17,12,"3990","","0","","0","0","",NA,"","","spectabs","none","none","Mar"
"129",5524,3,29,1982,56,23,NA,23,"RM","F","","","","","P","","",16,9,"7011","","0","","0","0","",NA,"","R","removal","none","all_ants","Mar"
"130",5526,3,29,1982,56,20,NA,24,"RM","F","","","","","P","","",17,10,"998","","0","","0","0","",NA,"","","control","mixed_seeds","none","Mar"
"131",5530,3,29,1982,56,21,NA,25,"RM","F","","","","","P","","",17,12,"6011","","0","","0","0","",NA,"","","exclosure","none","rugosus","Mar"
"132",5534,3,29,1982,56,24,NA,27,"PE","F","","","","","P","","",18,22,"4980","","0","","0","0","",NA,"","","spectabs","none","none","Mar"
"133",5537,3,29,1982,56,22,NA,32,"PE","F","","","","","P","","",20,24,"3127","","0","","0","0","",NA,"","","control","small_seeds","none","Mar"
"134",5544,3,29,1982,56,2,NA,37,"PE","F","","","","","P","","",19,23,"3447","","0","","0","0","",NA,"","","control","small_seeds","none","Mar"
"135",5546,3,29,1982,56,21,NA,37,"PF","F","","","","S","","","",16,9,"14","","0","","0","0","",NA,"","","exclosure","none","rugosus","Mar"
"136",5551,3,29,1982,56,12,NA,45,"RM","F","","","","","P","","",17,11,"8012","","0","","0","0","",NA,"","","control","none","rugosus","Mar"
"137",5560,3,29,1982,56,23,NA,51,"PE","F","","","","","P","","",20,24,"3429","","0","","0","0","",NA,"","","removal","none","all_ants","Mar"
"138",5565,3,29,1982,56,10,NA,55,"RM","F","","","","","P","","",16,14,"14","","0","","0","0","",NA,"","R","removal","none","all_ants","Mar"
"139",5580,3,29,1982,56,23,NA,65,"RM","F","","","","","P","","",17,12,"1995","","0","","0","0","",NA,"","R","removal","none","all_ants","Mar"
"140",5591,3,29,1982,56,18,NA,76,"RM","F","","","","","P","","",16,12,"5003","","0","","0","0","",NA,"","","control","mixed_pulse","none","Mar"
"141",5596,3,30,1982,56,7,NA,11,"PM","F","","","","P","","","",21,27,"3266","","0","","0","0","",NA,"","R","removal","none","none","Mar"
"142",5601,3,30,1982,56,7,NA,13,"PE","F","","","","S","","","",19,21,"4946","","0","","0","0","",NA,"","","removal","none","none","Mar"
"143",5637,3,30,1982,56,15,NA,41,"PM","F","","","","","P","","",19,34,"3284","","0","","0","0","",NA,"","","exclosure","none","rugosus","Mar"
"144",5641,3,30,1982,56,3,NA,44,"RM","F","","","","","P","","",17,14,"111","","0","","0","0","",NA,"","","exclosure","none","none","Mar"
"145",5650,3,30,1982,56,3,NA,51,"PF","F","","","","S","","","",16,8,"111","","0","","0","0","",NA,"","","exclosure","none","none","Mar"
"146",5656,3,30,1982,56,16,NA,55,"RM","F","","","","","P","","",16,12,"12","","0","","0","0","",NA,"","R","removal","none","none","Mar"
"147",5657,3,30,1982,56,17,NA,57,"PM","F","","","","","P","","",21,28,"3285","","0","","0","0","",NA,"","","control","none","all_ants","Mar"
"148",5679,3,30,1982,56,6,NA,77,"PE","F","","","","S","","","",21,21,"4980","","0","","0","0","",NA,"","","control","large_seeds","none","Mar"
"149",5715,4,28,1982,57,10,NA,31,"PM","F","","","","","P","","",21,32,"0","","0","","0","0","",NA,"","R","removal","none","all_ants","Apr"
"150",5739,4,28,1982,57,19,NA,62,"PE","F","","","","","P","","",20,24,"3264","","0","","0","0","",NA,"","","exclosure","none","none","Apr"
"151",5742,4,28,1982,57,12,NA,64,"PM","F","","","","S","","","",19,19,"3273","","0","","0","0","",NA,"","","control","none","rugosus","Apr"
"152",5747,4,28,1982,57,17,NA,71,"PE","F","","","","","P","","",20,26,"3127","","0","","0","0","",NA,"","","control","none","all_ants","Apr"
"153",5761,4,28,1982,57,20,NA,77,"PP","F","","","","S","","","",22,19,"1","","0","","0","0","",NA,"","","control","mixed_seeds","none","Apr"
"154",5774,4,29,1982,57,15,NA,22,"PM","F","","","","S","","","",19,18,"3384","","0","","0","0","",NA,"","","exclosure","none","rugosus","Apr"
"155",5807,4,29,1982,57,15,NA,56,"RM","F","","","","","P","","",17,15,"3997","","0","","0","0","",NA,"","","exclosure","none","rugosus","Apr"
"156",5819,4,29,1982,57,16,NA,65,"PE","F","","","","","","E","",21,23,"3127","","0","","0","0","",NA,"","","removal","none","none","Apr"
"157",5841,5,21,1982,58,20,NA,16,"RM","F","","","","","P","","",15,11,"3998","","0","","0","0","",NA,"","","control","mixed_seeds","none","May"
"158",5876,5,21,1982,58,12,NA,47,"PE","F","","","","S","","","",20,15,"3267","","0","","0","0","",NA,"","","control","none","rugosus","May"
"159",5888,5,21,1982,58,18,NA,63,"PM","F","","","","","P","","",22,24,"0","","0","","0","0","",NA,"TE","","control","mixed_pulse","none","May"
"160",5924,5,22,1982,58,15,NA,17,"PF","F","","","","","P","","",16,9,"3995","","0","","0","0","",NA,"","","exclosure","none","rugosus","May"
"161",5987,6,28,1982,59,7,NA,15,"PE","F","","","","","P","","",NA,23,"3588","","0","","0","0","",NA,"","","removal","none","none","Jun"
"162",5993,6,28,1982,59,7,NA,16,"RM","F","","","","","P","","",NA,12,"995","","0","","0","0","",NA,"","R","removal","none","none","Jun"
"163",6002,6,28,1982,59,15,NA,26,"PM","F","","","","","P","","",NA,29,"3384","","0","","0","0","",NA,"","","exclosure","none","rugosus","Jun"
"164",6010,6,28,1982,59,4,NA,33,"PF","F","","","","","P","","",16,9,"6003","","3996","","0","0","",NA,"","","control","none","all_ants","Jun"
"165",6038,6,28,1982,59,14,NA,62,"PE","F","","","","","P","","",NA,30,"3562","","0","","0","0","",NA,"","","control","none","none","Jun"
"166",6066,6,29,1982,59,11,NA,13,"PP","F","","","","","","","L",NA,18,"13","","0","","0","0","",NA,"","","control","none","none","Jun"
"167",6091,6,29,1982,59,23,NA,42,"RM","F","","","","","P","","",NA,8,"2997","","0","","0","0","",NA,"","R","removal","none","all_ants","Jun"
"168",6134,6,29,1982,59,19,NA,74,"PM","F","","","","","P","","",NA,34,"3606","","0","","0","0","",NA,"","","exclosure","none","none","Jun"
"169",6135,6,29,1982,59,20,NA,74,"PP","F","","","","","","E","",NA,18,"1","","0","","0","0","",NA,"","","control","mixed_seeds","none","Jun"
"170",6244,7,26,1982,60,10,NA,35,"PP","F","","","","","P","","",NA,24,"7004","","0","","0","0","",NA,"","","removal","none","all_ants","Jul"
"171",6250,7,26,1982,60,11,NA,44,"PP","F","","","","","","E","",NA,18,"13","","0","","0","0","",NA,"","","control","none","none","Jul"
"172",6303,7,27,1982,60,19,NA,42,"PM","F","","","","","P","","",NA,25,"3473","","0","","0","0","",NA,"TE","","exclosure","none","none","Jul"
"173",6331,8,15,1982,61,24,NA,14,"PM","F","","","","","P","","",18,23,"3604","","0","","0","0","",NA,"","","spectabs","none","none","Aug"
"174",6419,8,15,1982,61,23,NA,76,"RM","F","","","","","P","","",NA,16,"2997","","0","","0","0","",NA,"","R","removal","none","all_ants","Aug"
"175",6452,8,16,1982,61,8,NA,27,"PE","F","","","","","P","","",19,21,"3588","","0","","0","0","",NA,"","","control","none","rugosus","Aug"
"176",6480,8,16,1982,61,3,NA,51,"RM","F","","","","","P","","",16,14,"4996","","0","","0","0","",NA,"","","exclosure","none","none","Aug"
"177",6502,8,16,1982,61,10,NA,71,"RM","F","","","","","P","","",NA,13,"0","","0","","0","0","",NA,"UT","R","removal","none","all_ants","Aug"
"178",6625,9,19,1982,62,24,NA,41,"PE","F","","","","","P","","",19,20,"3170","","0","","0","0","",NA,"","","spectabs","none","none","Sept"
"179",6795,10,24,1982,-62,6,5,12,"PM","F","","","","","P","R","",19,26,"3966","","0","","0","0","",NA,"","","control","large_seeds","none","Oct"
"180",6804,10,24,1982,-62,24,5,16,"PE","F","","","","S","P","R","",20,27,"3170","","0","","0","0","",NA,"","","spectabs","none","none","Oct"
"181",6864,10,24,1982,-62,6,5,45,"PF","F","","","","","P","","",16,9,"8700","","0","","0","0","",NA,"","","control","large_seeds","none","Oct"
"182",6931,10,24,1982,-62,7,5,75,"PE","F","","","","","P","","",21,19,"3648","","0","","0","0","",NA,"","","removal","none","none","Oct"
"183",7018,11,21,1982,63,18,NA,71,"RM","F","","","","S","","","",18,11,"8604","","0","","0","0","",NA,"","","control","mixed_pulse","none","Nov"
"184",7031,11,21,1982,63,21,NA,77,"RM","F","","","","","P","","",15,10,"8613","","0","","0","0","",NA,"","","exclosure","none","rugosus","Nov"
"185",7049,11,22,1982,63,8,NA,15,"PF","F","","","","S","","","",16,5,"7610","","0","","0","0","",NA,"","","control","none","rugosus","Nov"
"186",7092,11,22,1982,63,3,NA,53,"RM","F","","","","S","","","",16,9,"8614","","0","","0","0","",NA,"","","exclosure","none","none","Nov"
"187",7156,1,12,1983,64,21,NA,23,"PM","F","","","","S","","","",21,23,"3875","","0","","0","0","",NA,"","","exclosure","none","rugosus","Jan"
