"","month","year","treatment","reproductive","abundance","proportion","sex","species"
"189",4,1997,"exclosure",0,1,0,"male","PB"
"190",4,1999,"exclosure",0,1,0,"male","PB"
"191",4,2006,"control",0,5,0,"male","PB"
"192",4,2009,"control",0,5,0,"male","PB"
"193",4,2010,"control",0,1,0,"male","PB"
"194",4,2011,"exclosure",0,1,0,"male","PB"
"195",4,2012,"exclosure",0,3,0,"male","PB"
"196",4,2013,"exclosure",0,4,0,"male","PB"
"197",4,2014,"control",0,4,0,"male","PB"
"198",4,2014,"exclosure",0,4,0,"male","PB"
"199",5,1997,"control",0,2,0,"male","PB"
"200",5,1998,"exclosure",0,1,0,"male","PB"
"201",5,1999,"control",0,1,0,"male","PB"
"202",5,1999,"exclosure",0,2,0,"male","PB"
"203",5,2002,"control",0,8,0,"male","PB"
"204",5,2004,"control",0,1,0,"male","PB"
"205",5,2005,"control",0,3,0,"male","PB"
"206",5,2005,"exclosure",0,4,0,"male","PB"
"207",5,2006,"control",0,6,0,"male","PB"
"208",5,2009,"control",0,6,0,"male","PB"
"209",5,2011,"exclosure",0,2,0,"male","PB"
"210",5,2013,"control",0,2,0,"male","PB"
"211",5,2013,"exclosure",0,7,0,"male","PB"
"212",5,2014,"control",0,1,0,"male","PB"
"213",6,1996,"control",0,1,0,"male","PB"
"214",6,1997,"control",0,1,0,"male","PB"
"215",6,1997,"exclosure",0,6,0,"male","PB"
"216",6,1998,"exclosure",0,3,0,"male","PB"
"217",6,1999,"control",0,1,0,"male","PB"
"218",6,1999,"exclosure",0,3,0,"male","PB"
"219",6,2000,"control",0,3,0,"male","PB"
"220",6,2004,"exclosure",0,2,0,"male","PB"
"221",6,2005,"control",0,5,0,"male","PB"
"222",6,2012,"control",0,2,0,"male","PB"
"223",6,2012,"exclosure",0,2,0,"male","PB"
"224",6,2014,"control",0,3,0,"male","PB"
"225",7,1997,"control",0,2,0,"male","PB"
"226",7,1997,"exclosure",0,10,0,"male","PB"
"227",7,1998,"control",0,2,0,"male","PB"
"228",7,1998,"exclosure",0,3,0,"male","PB"
"229",7,2000,"control",0,7,0,"male","PB"
"230",7,2000,"exclosure",0,13,0,"male","PB"
"231",7,2002,"control",0,10,0,"male","PB"
"232",7,2003,"exclosure",0,13,0,"male","PB"
"233",7,2005,"control",0,9,0,"male","PB"
"234",7,2007,"exclosure",0,46,0,"male","PB"
"235",7,2008,"control",0,2,0,"male","PB"
"236",7,2008,"exclosure",0,7,0,"male","PB"
"237",7,2009,"control",0,5,0,"male","PB"
"238",7,2009,"exclosure",0,10,0,"male","PB"
"239",7,2013,"control",0,1,0,"male","PB"
"240",8,1998,"control",0,4,0,"male","PB"
"241",8,1998,"exclosure",0,6,0,"male","PB"
"242",8,2000,"control",0,11,0,"male","PB"
"243",8,2001,"exclosure",0,15,0,"male","PB"
"244",8,2004,"control",0,6,0,"male","PB"
"245",8,2004,"exclosure",0,9,0,"male","PB"
"246",8,2005,"control",0,12,0,"male","PB"
"247",8,2012,"control",0,2,0,"male","PB"
"248",8,2012,"exclosure",0,11,0,"male","PB"
"249",9,1996,"control",0,4,0,"male","PB"
"250",9,1996,"exclosure",0,1,0,"male","PB"
"251",9,1997,"exclosure",0,2,0,"male","PB"
"252",9,1998,"control",0,4,0,"male","PB"
"253",9,1998,"exclosure",0,8,0,"male","PB"
"254",9,1999,"exclosure",0,2,0,"male","PB"
"255",9,2000,"control",0,4,0,"male","PB"
"256",9,2000,"exclosure",0,4,0,"male","PB"
"257",9,2002,"control",0,1,0,"male","PB"
"258",9,2003,"control",0,7,0,"male","PB"
"259",9,2004,"control",0,5,0,"male","PB"
"260",9,2007,"exclosure",0,28,0,"male","PB"
"261",9,2008,"control",0,8,0,"male","PB"
"262",9,2008,"exclosure",0,13,0,"male","PB"
"263",9,2009,"exclosure",0,6,0,"male","PB"
"264",9,2012,"control",0,4,0,"male","PB"
"265",9,2012,"exclosure",0,11,0,"male","PB"
"266",9,2014,"control",0,2,0,"male","PB"
"267",9,2014,"exclosure",0,3,0,"male","PB"
"268",10,1996,"control",0,3,0,"male","PB"
"269",10,1996,"exclosure",0,1,0,"male","PB"
"270",10,1997,"control",0,1,0,"male","PB"
"271",10,1997,"exclosure",0,2,0,"male","PB"
"272",10,1998,"control",0,1,0,"male","PB"
"273",10,1998,"exclosure",0,2,0,"male","PB"
"274",10,1999,"exclosure",0,2,0,"male","PB"
"275",10,2000,"control",0,2,0,"male","PB"
"276",10,2000,"exclosure",0,3,0,"male","PB"
"277",10,2001,"control",0,7,0,"male","PB"
"278",10,2002,"control",0,5,0,"male","PB"
"279",10,2004,"exclosure",0,7,0,"male","PB"
"280",10,2005,"control",0,4,0,"male","PB"
"281",10,2007,"control",0,23,0,"male","PB"
"282",10,2008,"control",0,6,0,"male","PB"
"283",10,2008,"exclosure",0,11,0,"male","PB"
"284",10,2009,"control",0,3,0,"male","PB"
"285",10,2009,"exclosure",0,6,0,"male","PB"
"286",10,2011,"exclosure",0,1,0,"male","PB"
"287",10,2012,"control",0,4,0,"male","PB"
"288",10,2012,"exclosure",0,8,0,"male","PB"
"289",10,2014,"control",0,2,0,"male","PB"
"290",10,2014,"exclosure",0,3,0,"male","PB"
"291",11,1996,"control",0,1,0,"male","PB"
"292",11,1997,"control",0,1,0,"male","PB"
"293",11,1997,"exclosure",0,1,0,"male","PB"
"294",11,1998,"exclosure",0,1,0,"male","PB"
"295",11,1999,"control",0,2,0,"male","PB"
"296",11,1999,"exclosure",0,5,0,"male","PB"
"297",11,2000,"control",0,5,0,"male","PB"
"298",11,2000,"exclosure",0,8,0,"male","PB"
"299",11,2002,"control",0,8,0,"male","PB"
"300",11,2003,"control",0,4,0,"male","PB"
"301",11,2003,"exclosure",0,10,0,"male","PB"
"302",11,2007,"control",0,21,0,"male","PB"
"303",11,2007,"exclosure",0,23,0,"male","PB"
"304",11,2008,"control",0,3,0,"male","PB"
"305",11,2008,"exclosure",0,6,0,"male","PB"
"306",11,2009,"control",0,2,0,"male","PB"
"307",11,2009,"exclosure",0,5,0,"male","PB"
"308",11,2012,"control",0,4,0,"male","PB"
"309",11,2013,"control",0,5,0,"male","PB"
"310",11,2013,"exclosure",0,5,0,"male","PB"
"311",11,2014,"exclosure",0,4,0,"male","PB"
"312",12,1997,"exclosure",0,1,0,"male","PB"
"313",12,1998,"exclosure",0,1,0,"male","PB"
"314",12,1999,"control",0,2,0,"male","PB"
"315",12,1999,"exclosure",0,6,0,"male","PB"
"316",12,2000,"control",0,4,0,"male","PB"
"317",12,2000,"exclosure",0,6,0,"male","PB"
"318",12,2003,"control",0,3,0,"male","PB"
"319",12,2003,"exclosure",0,9,0,"male","PB"
"320",12,2005,"control",0,6,0,"male","PB"
"321",12,2007,"control",0,15,0,"male","PB"
"322",12,2007,"exclosure",0,16,0,"male","PB"
"323",12,2008,"control",0,4,0,"male","PB"
"324",12,2008,"exclosure",0,6,0,"male","PB"
"325",12,2009,"control",0,1,0,"male","PB"
"326",12,2009,"exclosure",0,2,0,"male","PB"
"327",12,2012,"control",0,3,0,"male","PB"
"328",12,2012,"exclosure",0,6,0,"male","PB"
"329",12,2013,"exclosure",0,3,0,"male","PB"
"330",10,2007,"exclosure",1,59,0.0169491525423729,"female","PB"
"331",7,2003,"exclosure",1,52,0.0192307692307692,"female","PB"
"332",7,2007,"control",1,43,0.0232558139534884,"female","PB"
"333",9,2005,"control",1,33,0.0303030303030303,"female","PB"
"334",7,2007,"exclosure",3,94,0.0319148936170213,"female","PB"
"335",8,2005,"exclosure",1,29,0.0344827586206897,"female","PB"
"336",6,2008,"control",1,26,0.0384615384615385,"female","PB"
"337",6,2007,"exclosure",4,89,0.0449438202247191,"female","PB"
"338",5,2009,"exclosure",1,20,0.05,"female","PB"
"339",8,2003,"control",1,19,0.0526315789473684,"female","PB"
"340",9,2014,"exclosure",1,19,0.0526315789473684,"female","PB"
"341",5,2008,"exclosure",1,17,0.0588235294117647,"female","PB"
"342",2,2003,"control",1,16,0.0625,"female","PB"
"343",3,2006,"control",1,16,0.0625,"female","PB"
"344",4,2008,"exclosure",1,16,0.0625,"female","PB"
"345",6,2003,"exclosure",3,48,0.0625,"female","PB"
"346",11,2002,"control",1,16,0.0625,"female","PB"
"347",2,2003,"exclosure",3,46,0.0652173913043478,"female","PB"
"348",4,2009,"exclosure",1,15,0.0666666666666667,"female","PB"
"349",8,2005,"control",1,15,0.0666666666666667,"female","PB"
"350",8,2014,"exclosure",2,29,0.0689655172413793,"female","PB"
"351",8,2004,"exclosure",1,14,0.0714285714285714,"female","PB"
"352",6,2007,"control",4,51,0.0784313725490196,"female","PB"
"353",10,2001,"exclosure",2,24,0.0833333333333333,"female","PB"
"354",7,2002,"exclosure",3,33,0.0909090909090909,"female","PB"
"355",7,2004,"control",1,11,0.0909090909090909,"female","PB"
"356",10,2004,"exclosure",1,11,0.0909090909090909,"female","PB"
"357",3,2002,"control",1,10,0.1,"female","PB"
"358",3,2002,"exclosure",2,20,0.1,"female","PB"
"359",3,2007,"control",2,20,0.1,"female","PB"
"360",5,2005,"exclosure",1,10,0.1,"female","PB"
"361",12,2002,"exclosure",7,68,0.102941176470588,"female","PB"
"362",6,2003,"control",2,19,0.105263157894737,"female","PB"
"363",3,2005,"exclosure",1,9,0.111111111111111,"female","PB"
"364",6,2000,"exclosure",1,9,0.111111111111111,"female","PB"
"365",6,2008,"exclosure",5,45,0.111111111111111,"female","PB"
"366",7,2005,"exclosure",3,27,0.111111111111111,"female","PB"
"367",3,2007,"exclosure",4,35,0.114285714285714,"female","PB"
"368",6,1999,"exclosure",1,8,0.125,"female","PB"
"369",7,1997,"exclosure",1,8,0.125,"female","PB"
"370",9,2004,"exclosure",2,16,0.125,"female","PB"
"371",12,2006,"exclosure",5,40,0.125,"female","PB"
"372",5,2008,"control",2,15,0.133333333333333,"female","PB"
"373",3,2005,"control",1,7,0.142857142857143,"female","PB"
"374",3,2009,"exclosure",1,7,0.142857142857143,"female","PB"
"375",4,2006,"control",1,7,0.142857142857143,"female","PB"
"376",5,2006,"control",1,7,0.142857142857143,"female","PB"
"377",6,2002,"exclosure",5,35,0.142857142857143,"female","PB"
"378",10,2002,"exclosure",6,42,0.142857142857143,"female","PB"
"379",11,2002,"exclosure",6,40,0.15,"female","PB"
"380",8,2001,"exclosure",4,26,0.153846153846154,"female","PB"
"381",10,2004,"control",2,13,0.153846153846154,"female","PB"
"382",12,2006,"control",2,13,0.153846153846154,"female","PB"
"383",7,2004,"exclosure",2,12,0.166666666666667,"female","PB"
"384",5,2007,"exclosure",14,73,0.191780821917808,"female","PB"
"385",11,2006,"exclosure",7,36,0.194444444444444,"female","PB"
"386",4,2009,"control",1,5,0.2,"female","PB"
"387",5,2009,"control",1,5,0.2,"female","PB"
"388",9,2002,"control",1,5,0.2,"female","PB"
"389",10,2002,"control",3,14,0.214285714285714,"female","PB"
"390",5,2003,"control",10,45,0.222222222222222,"female","PB"
"391",7,2000,"exclosure",2,9,0.222222222222222,"female","PB"
"392",7,2005,"control",2,9,0.222222222222222,"female","PB"
"393",5,2002,"exclosure",7,31,0.225806451612903,"female","PB"
"394",5,2007,"control",8,35,0.228571428571429,"female","PB"
"395",4,2007,"exclosure",10,42,0.238095238095238,"female","PB"
"396",3,2000,"control",1,4,0.25,"female","PB"
"397",3,2003,"control",9,36,0.25,"female","PB"
"398",5,2006,"exclosure",6,24,0.25,"female","PB"
"399",6,2004,"control",2,8,0.25,"female","PB"
"400",6,2004,"exclosure",2,8,0.25,"female","PB"
"401",6,2009,"control",2,8,0.25,"female","PB"
"402",6,2012,"exclosure",1,4,0.25,"female","PB"
"403",6,2014,"exclosure",4,16,0.25,"female","PB"
"404",9,2009,"exclosure",1,4,0.25,"female","PB"
"405",5,2003,"exclosure",29,115,0.252173913043478,"female","PB"
"406",6,2005,"exclosure",4,15,0.266666666666667,"female","PB"
"407",9,2006,"exclosure",4,15,0.266666666666667,"female","PB"
"408",4,2006,"exclosure",5,18,0.277777777777778,"female","PB"
"409",7,2006,"control",3,10,0.3,"female","PB"
"410",5,2002,"control",4,13,0.307692307692308,"female","PB"
"411",5,2004,"exclosure",4,13,0.307692307692308,"female","PB"
"412",3,2003,"exclosure",26,82,0.317073170731707,"female","PB"
"413",7,2006,"exclosure",11,34,0.323529411764706,"female","PB"
"414",3,2014,"exclosure",2,6,0.333333333333333,"female","PB"
"415",4,2000,"control",1,3,0.333333333333333,"female","PB"
"416",4,2014,"exclosure",3,9,0.333333333333333,"female","PB"
"417",5,1997,"exclosure",1,3,0.333333333333333,"female","PB"
"418",6,1997,"exclosure",1,3,0.333333333333333,"female","PB"
"419",11,2014,"control",1,3,0.333333333333333,"female","PB"
"420",4,2007,"control",8,23,0.347826086956522,"female","PB"
"421",6,2002,"control",4,11,0.363636363636364,"female","PB"
"422",5,2004,"control",2,5,0.4,"female","PB"
"423",5,2005,"control",2,5,0.4,"female","PB"
"424",7,1998,"exclosure",2,5,0.4,"female","PB"
"425",4,2004,"exclosure",3,7,0.428571428571429,"female","PB"
"426",5,2014,"exclosure",3,7,0.428571428571429,"female","PB"
"427",10,2006,"control",4,9,0.444444444444444,"female","PB"
"428",9,2002,"exclosure",5,11,0.454545454545455,"female","PB"
"429",3,2001,"exclosure",3,6,0.5,"female","PB"
"430",4,1997,"exclosure",1,2,0.5,"female","PB"
"431",4,2000,"exclosure",2,4,0.5,"female","PB"
"432",4,2002,"control",4,8,0.5,"female","PB"
"433",4,2013,"exclosure",1,2,0.5,"female","PB"
"434",6,1998,"exclosure",2,4,0.5,"female","PB"
"435",6,2000,"control",1,2,0.5,"female","PB"
"436",6,2012,"control",1,2,0.5,"female","PB"
"437",7,2010,"control",1,2,0.5,"female","PB"
"438",9,2006,"control",1,2,0.5,"female","PB"
"439",10,2006,"exclosure",14,27,0.518518518518518,"female","PB"
"440",4,2002,"exclosure",9,17,0.529411764705882,"female","PB"
"441",4,2001,"exclosure",3,5,0.6,"female","PB"
"442",5,2001,"exclosure",3,5,0.6,"female","PB"
"443",4,2005,"control",5,8,0.625,"female","PB"
"444",6,2005,"control",6,9,0.666666666666667,"female","PB"
"445",4,2005,"exclosure",6,8,0.75,"female","PB"
"446",2,2012,"control",1,1,1,"female","PB"
"447",3,1997,"exclosure",1,1,1,"female","PB"
"448",9,1999,"exclosure",1,1,1,"female","PB"
"449",10,1999,"exclosure",1,1,1,"female","PB"
"450",1,2000,"control",0,1,0,"female","PB"
"451",1,2000,"exclosure",0,1,0,"female","PB"
"452",1,2001,"exclosure",0,5,0,"female","PB"
"453",1,2004,"control",0,6,0,"female","PB"
"454",1,2004,"exclosure",0,20,0,"female","PB"
"455",1,2005,"control",0,14,0,"female","PB"
"456",1,2005,"exclosure",0,10,0,"female","PB"
"457",1,2006,"control",0,22,0,"female","PB"
"458",1,2006,"exclosure",0,39,0,"female","PB"
"459",1,2008,"control",0,19,0,"female","PB"
"460",1,2008,"exclosure",0,21,0,"female","PB"
"461",1,2009,"control",0,3,0,"female","PB"
"462",1,2009,"exclosure",0,9,0,"female","PB"
"463",1,2012,"control",0,1,0,"female","PB"
"464",1,2013,"exclosure",0,2,0,"female","PB"
"465",2,1997,"control",0,1,0,"female","PB"
"466",2,1997,"exclosure",0,2,0,"female","PB"
"467",2,1999,"control",0,1,0,"female","PB"
"468",2,1999,"exclosure",0,1,0,"female","PB"
"469",2,2000,"control",0,3,0,"female","PB"
"470",2,2000,"exclosure",0,2,0,"female","PB"
"471",2,2002,"control",0,8,0,"female","PB"
"472",2,2002,"exclosure",0,22,0,"female","PB"
"473",2,2004,"control",0,5,0,"female","PB"
"474",2,2004,"exclosure",0,21,0,"female","PB"
"475",2,2007,"control",0,24,0,"female","PB"
"476",2,2007,"exclosure",0,33,0,"female","PB"
"477",2,2008,"control",0,16,0,"female","PB"
"478",2,2008,"exclosure",0,20,0,"female","PB"
"479",2,2009,"control",0,4,0,"female","PB"
"480",2,2009,"exclosure",0,9,0,"female","PB"
"481",2,2013,"exclosure",0,2,0,"female","PB"
"482",2,2014,"control",0,1,0,"female","PB"
"483",2,2014,"exclosure",0,4,0,"female","PB"
"484",3,1998,"control",0,1,0,"female","PB"
"485",3,1999,"control",0,2,0,"female","PB"
"486",3,2000,"exclosure",0,2,0,"female","PB"
"487",3,2001,"control",0,1,0,"female","PB"
"488",3,2004,"control",0,8,0,"female","PB"
"489",3,2004,"exclosure",0,18,0,"female","PB"
"490",3,2006,"exclosure",0,40,0,"female","PB"
"491",3,2008,"control",0,13,0,"female","PB"
"492",3,2008,"exclosure",0,15,0,"female","PB"
"493",3,2009,"control",0,3,0,"female","PB"
"494",3,2010,"exclosure",0,2,0,"female","PB"
"495",3,2012,"control",0,1,0,"female","PB"
"496",3,2013,"exclosure",0,2,0,"female","PB"
